#code        score   
2x00_123     801     
2x00_144     769     
2x00_174     636     
2x00_234     684     
2x00_335     671     
2x00_345     721     
2x00_410     660     
2x00_447     720     
2x00_464     619     
2x00_470     633     
2x00_487     577     
2x00_498     564     
2x00_499     619     
2x00_500     515     
2x00_509     562     
2x00_528     654     
2x00_53      663     
2x00_539     556     
2x00_551     532     
2x00_565     550     
2x00_573     432     
2x00_576     639     
2x00_583     651     
2x00_586     659     
2x00_587     533     
2x00_594     586     
2x00_604     571     
2x00_609     684     
2x00_611     743     
2x00_633     592     
2x00_634     581     
2x00_654     656     
2x00_701     797     
2x00_705     764     
2x00_709     683     
2x00_716     619     
2x00_721     521     
2x00_725     442     
2x00_731     589     
2x00_732     524     
2x00_736     692     
2x00_742     674     
2x00_748     613     
2x00_749     551     
2x00_760     408     
2x00_761     571     
2x00_767     665     
2x00_771     540     
2x00_778     605     
2x00_779     481     
2x00_786     464     
2x00_789     534     
2x00_791     718     
2x00_798     639     
2x00_817     695     
2x00_818     550     
2x00_822     593     
2x00_835     462     
2x00_843     589     
2x00_853     503     
2x00_874     601     
2x00_882     515     
2x00_889     572     
2x00_891     577     
2x00_907     619     
2x00_911     630     
2x00_929     702     
2x00_935     586     
2x00_945     604     
2x00_963     654     
2x00_966     647     
2x00_969     604     
2x00_971     613     
2x00_972     447     
2x00_986     601     
2x00_992     616     
2x00_ligand  663     
