#code        score   
3ary_100     208     
3ary_147     300     
3ary_154     341     
3ary_162     316     
3ary_187     416     
3ary_195     369     
3ary_206     387     
3ary_208     416     
3ary_222     348     
3ary_230     413     
3ary_237     448     
3ary_240     330     
3ary_244     395     
3ary_252     507     
3ary_255     353     
3ary_276     469     
3ary_286     525     
3ary_290     418     
3ary_292     367     
3ary_298     383     
3ary_302     327     
3ary_304     279     
3ary_311     173     
3ary_317     317     
3ary_383     275     
3ary_418     232     
3ary_466     244     
3ary_487     303     
3ary_499     333     
3ary_503     217     
3ary_513     262     
3ary_515     279     
3ary_540     287     
3ary_547     220     
3ary_548     358     
3ary_556     300     
3ary_558     342     
3ary_561     306     
3ary_580     161     
3ary_627     256     
3ary_648     373     
3ary_650     318     
3ary_663     288     
3ary_687     279     
3ary_702     271     
3ary_71      202     
3ary_723     288     
3ary_727     205     
3ary_729     235     
3ary_730     197     
3ary_731     303     
3ary_735     131     
3ary_736     274     
3ary_739     164     
3ary_740     250     
3ary_744     276     
3ary_750     274     
3ary_751     194     
3ary_754     220     
3ary_762     194     
3ary_763     232     
3ary_765     241     
3ary_770     140     
3ary_772     134     
3ary_773     265     
3ary_774     265     
3ary_775     190     
3ary_778     264     
3ary_797     279     
3ary_799     286     
3ary_801     410     
3ary_805     256     
3ary_826     276     
3ary_828     211     
3ary_832     232     
3ary_837     263     
3ary_844     226     
3ary_850     208     
3ary_858     247     
3ary_861     241     
3ary_864     274     
3ary_866     274     
3ary_880     220     
3ary_884     453     
3ary_943     232     
3ary_953     371     
3ary_968     140     
3ary_976     244     
3ary_979     238     
3ary_981     332     
3ary_ligand  211     
