#code        score   
3g2z_132     346     
3g2z_152     174     
3g2z_166     167     
3g2z_189     176     
3g2z_194     184     
3g2z_332     241     
3g2z_42      201     
3g2z_443     143     
3g2z_490     172     
3g2z_506     136     
3g2z_517     191     
3g2z_525     266     
3g2z_526     160     
3g2z_528     173     
3g2z_534     199     
3g2z_535     167     
3g2z_559     22      
3g2z_568     159     
3g2z_569     182     
3g2z_578     221     
3g2z_587     10      
3g2z_588     199     
3g2z_603     174     
3g2z_610     308     
3g2z_616     271     
3g2z_626     244     
3g2z_631     347     
3g2z_632     245     
3g2z_656     283     
3g2z_663     232     
3g2z_668     258     
3g2z_683     150     
3g2z_687     300     
3g2z_706     102     
3g2z_745     126     
3g2z_748     177     
3g2z_755     281     
3g2z_763     191     
3g2z_776     127     
3g2z_779     244     
3g2z_790     230     
3g2z_792     107     
3g2z_818     195     
3g2z_909     278     
3g2z_915     249     
3g2z_933     204     
3g2z_940     342     
3g2z_975     213     
3g2z_1001    352     
3g2z_1002    341     
3g2z_1003    308     
3g2z_1004    265     
3g2z_1005    239     
3g2z_1006    275     
3g2z_1007    322     
3g2z_1008    189     
3g2z_1009    343     
3g2z_1010    368     
3g2z_1011    221     
3g2z_1012    228     
3g2z_ligand  208     
