#code        score   
3gnw_134     576     
3gnw_136     731     
3gnw_155     644     
3gnw_179     654     
3gnw_201     642     
3gnw_205     652     
3gnw_216     686     
3gnw_218     725     
3gnw_219     657     
3gnw_220     601     
3gnw_225     645     
3gnw_226     664     
3gnw_236     570     
3gnw_241     579     
3gnw_254     739     
3gnw_259     611     
3gnw_261     671     
3gnw_266     646     
3gnw_271     538     
3gnw_273     723     
3gnw_276     578     
3gnw_277     645     
3gnw_278     663     
3gnw_279     692     
3gnw_284     654     
3gnw_294     587     
3gnw_299     535     
3gnw_302     538     
3gnw_310     622     
3gnw_315     704     
3gnw_316     636     
3gnw_322     613     
3gnw_323     692     
3gnw_325     525     
3gnw_335     491     
3gnw_337     772     
3gnw_343     551     
3gnw_381     577     
3gnw_387     598     
3gnw_402     647     
3gnw_41      620     
3gnw_411     662     
3gnw_417     677     
3gnw_423     716     
3gnw_440     646     
3gnw_448     455     
3gnw_463     677     
3gnw_49      745     
3gnw_493     780     
3gnw_498     720     
3gnw_516     735     
3gnw_527     645     
3gnw_535     544     
3gnw_545     484     
3gnw_549     580     
3gnw_552     425     
3gnw_555     636     
3gnw_569     561     
3gnw_580     425     
3gnw_581     446     
3gnw_586     425     
3gnw_587     704     
3gnw_597     422     
3gnw_634     647     
3gnw_636     630     
3gnw_639     420     
3gnw_649     586     
3gnw_659     567     
3gnw_662     638     
3gnw_667     540     
3gnw_668     571     
3gnw_694     409     
3gnw_700     563     
3gnw_708     757     
3gnw_712     732     
3gnw_714     659     
3gnw_718     657     
3gnw_722     654     
3gnw_729     642     
3gnw_745     608     
3gnw_779     665     
3gnw_802     730     
3gnw_842     672     
3gnw_847     664     
3gnw_848     591     
3gnw_857     641     
3gnw_867     727     
3gnw_868     543     
3gnw_87      698     
3gnw_873     612     
3gnw_876     596     
3gnw_877     707     
3gnw_939     753     
3gnw_94      648     
3gnw_95      559     
3gnw_950     707     
3gnw_959     656     
3gnw_961     749     
3gnw_965     729     
3gnw_982     739     
3gnw_ligand  918     
