#code        score   
4gkm_111     848     
4gkm_123     823     
4gkm_133     648     
4gkm_137     580     
4gkm_158     762     
4gkm_166     666     
4gkm_180     877     
4gkm_189     772     
4gkm_2       688     
4gkm_220     771     
4gkm_25      387     
4gkm_265     665     
4gkm_280     570     
4gkm_301     832     
4gkm_302     679     
4gkm_338     772     
4gkm_346     392     
4gkm_348     768     
4gkm_349     450     
4gkm_358     856     
4gkm_363     502     
4gkm_374     711     
4gkm_375     836     
4gkm_425     359     
4gkm_438     348     
4gkm_45      661     
4gkm_472     428     
4gkm_480     509     
4gkm_510     507     
4gkm_515     417     
4gkm_526     512     
4gkm_528     530     
4gkm_551     558     
4gkm_564     490     
4gkm_566     516     
4gkm_569     211     
4gkm_574     441     
4gkm_579     602     
4gkm_584     478     
4gkm_585     535     
4gkm_611     498     
4gkm_614     635     
4gkm_618     561     
4gkm_625     629     
4gkm_626     520     
4gkm_628     472     
4gkm_629     661     
4gkm_657     332     
4gkm_658     555     
4gkm_665     591     
4gkm_668     474     
4gkm_671     601     
4gkm_675     364     
4gkm_676     486     
4gkm_678     570     
4gkm_68      399     
4gkm_688     570     
4gkm_69      483     
4gkm_692     300     
4gkm_694     400     
4gkm_696     526     
4gkm_698     492     
4gkm_731     482     
4gkm_769     586     
4gkm_77      491     
4gkm_770     526     
4gkm_778     369     
4gkm_779     507     
4gkm_795     746     
4gkm_798     664     
4gkm_80      680     
4gkm_813     917     
4gkm_87      839     
4gkm_90      328     
4gkm_ligand  796     
