#code        score   
2weg_106     291     
2weg_146     326     
2weg_177     282     
2weg_20      261     
2weg_204     306     
2weg_21      342     
2weg_218     335     
2weg_248     392     
2weg_301     278     
2weg_314     250     
2weg_335     284     
2weg_343     339     
2weg_371     314     
2weg_385     327     
2weg_387     255     
2weg_390     288     
2weg_407     289     
2weg_415     222     
2weg_419     204     
2weg_437     242     
2weg_443     277     
2weg_447     279     
2weg_468     229     
2weg_472     292     
2weg_476     250     
2weg_502     184     
2weg_515     342     
2weg_517     142     
2weg_518     165     
2weg_52      339     
2weg_520     202     
2weg_525     353     
2weg_530     300     
2weg_542     218     
2weg_566     177     
2weg_579     317     
2weg_582     230     
2weg_592     318     
2weg_598     308     
2weg_599     299     
2weg_604     430     
2weg_614     283     
2weg_620     240     
2weg_632     289     
2weg_643     234     
2weg_644     217     
2weg_653     372     
2weg_666     294     
2weg_674     176     
2weg_686     190     
2weg_699     192     
2weg_765     246     
2weg_776     221     
2weg_784     190     
2weg_785     240     
2weg_80      366     
2weg_838     396     
2weg_ligand  275     
