#code        score   
3f3c_223     501     
3f3c_256     531     
3f3c_258     518     
3f3c_29      330     
3f3c_326     513     
3f3c_38      384     
3f3c_401     348     
3f3c_407     388     
3f3c_411     251     
3f3c_413     259     
3f3c_419     311     
3f3c_430     300     
3f3c_442     253     
3f3c_453     254     
3f3c_456     241     
3f3c_458     257     
3f3c_459     242     
3f3c_463     245     
3f3c_466     321     
3f3c_469     239     
3f3c_471     255     
3f3c_472     241     
3f3c_474     306     
3f3c_475     234     
3f3c_480     331     
3f3c_485     251     
3f3c_491     261     
3f3c_496     338     
3f3c_499     268     
3f3c_507     302     
3f3c_508     349     
3f3c_510     222     
3f3c_523     334     
3f3c_542     245     
3f3c_544     356     
3f3c_545     298     
3f3c_555     253     
3f3c_572     241     
3f3c_585     305     
3f3c_586     296     
3f3c_587     342     
3f3c_599     227     
3f3c_628     256     
3f3c_635     369     
3f3c_665     245     
3f3c_686     252     
3f3c_696     320     
3f3c_735     372     
3f3c_775     355     
3f3c_779     347     
3f3c_788     254     
3f3c_789     251     
3f3c_790     258     
3f3c_791     247     
3f3c_792     243     
3f3c_799     232     
3f3c_ligand  519     
