#code        score   
3oe5_104     701     
3oe5_106     376     
3oe5_11      184     
3oe5_121     425     
3oe5_124     488     
3oe5_132     670     
3oe5_134     429     
3oe5_145     347     
3oe5_148     432     
3oe5_15      426     
3oe5_156     487     
3oe5_161     387     
3oe5_162     449     
3oe5_164     369     
3oe5_197     629     
3oe5_198     497     
3oe5_199     504     
3oe5_2       196     
3oe5_203     663     
3oe5_214     693     
3oe5_217     609     
3oe5_227     523     
3oe5_236     740     
3oe5_243     572     
3oe5_245     527     
3oe5_248     600     
3oe5_250     547     
3oe5_26      153     
3oe5_261     644     
3oe5_263     640     
3oe5_266     665     
3oe5_274     510     
3oe5_286     600     
3oe5_289     697     
3oe5_29      184     
3oe5_290     658     
3oe5_30      660     
3oe5_301     440     
3oe5_325     268     
3oe5_329     707     
3oe5_332     391     
3oe5_342     421     
3oe5_352     698     
3oe5_356     695     
3oe5_370     346     
3oe5_380     363     
3oe5_401     593     
3oe5_402     363     
3oe5_403     414     
3oe5_412     410     
3oe5_421     345     
3oe5_422     545     
3oe5_423     388     
3oe5_430     548     
3oe5_437     460     
3oe5_439     446     
3oe5_441     438     
3oe5_442     469     
3oe5_446     460     
3oe5_45      325     
3oe5_455     394     
3oe5_462     403     
3oe5_467     382     
3oe5_472     407     
3oe5_477     330     
3oe5_480     416     
3oe5_483     533     
3oe5_484     345     
3oe5_493     317     
3oe5_497     343     
3oe5_499     500     
3oe5_529     346     
3oe5_546     210     
3oe5_552     378     
3oe5_561     280     
3oe5_563     289     
3oe5_57      269     
3oe5_581     247     
3oe5_586     242     
3oe5_599     238     
3oe5_620     425     
3oe5_623     260     
3oe5_624     604     
3oe5_669     292     
3oe5_673     355     
3oe5_676     314     
3oe5_680     137     
3oe5_684     391     
3oe5_697     219     
3oe5_700     295     
3oe5_758     478     
3oe5_76      332     
3oe5_762     408     
3oe5_77      194     
3oe5_788     386     
3oe5_857     498     
3oe5_893     421     
3oe5_94      324     
3oe5_955     670     
3oe5_97      319     
3oe5_ligand  750     
