#code        score   
4eky_274     579     
4eky_287     519     
4eky_32      635     
4eky_38      692     
4eky_407     511     
4eky_416     366     
4eky_419     560     
4eky_424     386     
4eky_425     453     
4eky_430     572     
4eky_433     451     
4eky_438     372     
4eky_443     340     
4eky_448     434     
4eky_461     447     
4eky_475     507     
4eky_478     384     
4eky_485     505     
4eky_495     457     
4eky_496     425     
4eky_534     402     
4eky_538     426     
4eky_546     316     
4eky_565     433     
4eky_568     368     
4eky_582     456     
4eky_599     361     
4eky_609     449     
4eky_619     321     
4eky_636     420     
4eky_638     444     
4eky_639     441     
4eky_640     289     
4eky_641     459     
4eky_647     345     
4eky_649     357     
4eky_651     346     
4eky_659     425     
4eky_668     359     
4eky_673     452     
4eky_678     373     
4eky_680     396     
4eky_693     321     
4eky_699     413     
4eky_700     389     
4eky_720     667     
4eky_725     705     
4eky_727     613     
4eky_730     696     
4eky_741     592     
4eky_742     673     
4eky_755     685     
4eky_759     495     
4eky_763     555     
4eky_767     416     
4eky_768     545     
4eky_770     390     
4eky_771     407     
4eky_772     588     
4eky_773     439     
4eky_774     659     
4eky_776     541     
4eky_777     476     
4eky_778     407     
4eky_779     360     
4eky_830     636     
4eky_842     590     
4eky_848     618     
4eky_856     596     
4eky_875     543     
4eky_876     638     
4eky_883     819     
4eky_899     801     
4eky_908     797     
4eky_941     831     
4eky_969     774     
4eky_972     731     
4eky_ligand  795     
