#code        score   
2xb8_133     694     
2xb8_268     661     
2xb8_28      628     
2xb8_282     691     
2xb8_285     741     
2xb8_35      588     
2xb8_408     357     
2xb8_423     472     
2xb8_428     393     
2xb8_433     416     
2xb8_435     301     
2xb8_436     604     
2xb8_437     385     
2xb8_439     402     
2xb8_451     559     
2xb8_452     366     
2xb8_459     392     
2xb8_462     374     
2xb8_464     420     
2xb8_465     420     
2xb8_473     370     
2xb8_478     399     
2xb8_481     446     
2xb8_483     475     
2xb8_484     436     
2xb8_486     398     
2xb8_487     468     
2xb8_490     549     
2xb8_523     374     
2xb8_525     429     
2xb8_537     435     
2xb8_542     458     
2xb8_546     374     
2xb8_556     352     
2xb8_558     375     
2xb8_560     472     
2xb8_568     351     
2xb8_572     316     
2xb8_573     388     
2xb8_574     342     
2xb8_576     483     
2xb8_585     338     
2xb8_587     477     
2xb8_590     446     
2xb8_597     403     
2xb8_616     380     
2xb8_617     422     
2xb8_620     415     
2xb8_635     466     
2xb8_647     450     
2xb8_650     502     
2xb8_657     375     
2xb8_673     334     
2xb8_675     406     
2xb8_676     591     
2xb8_679     383     
2xb8_682     395     
2xb8_684     419     
2xb8_691     579     
2xb8_695     509     
2xb8_697     447     
2xb8_735     609     
2xb8_760     470     
2xb8_761     515     
2xb8_765     484     
2xb8_767     441     
2xb8_768     475     
2xb8_775     376     
2xb8_776     620     
2xb8_ligand  680     
