#code        score   
3dx1_119     506     
3dx1_20      366     
3dx1_25      446     
3dx1_287     488     
3dx1_29      419     
3dx1_304     451     
3dx1_382     416     
3dx1_39      508     
3dx1_440     210     
3dx1_457     171     
3dx1_464     187     
3dx1_477     204     
3dx1_492     156     
3dx1_497     196     
3dx1_531     221     
3dx1_548     192     
3dx1_554     175     
3dx1_557     182     
3dx1_560     140     
3dx1_566     362     
3dx1_568     156     
3dx1_569     295     
3dx1_570     136     
3dx1_574     137     
3dx1_577     95      
3dx1_579     160     
3dx1_585     188     
3dx1_587     185     
3dx1_588     261     
3dx1_591     137     
3dx1_592     161     
3dx1_594     142     
3dx1_595     134     
3dx1_597     129     
3dx1_603     166     
3dx1_611     417     
3dx1_627     147     
3dx1_634     131     
3dx1_645     266     
3dx1_648     143     
3dx1_651     169     
3dx1_654     236     
3dx1_657     119     
3dx1_665     129     
3dx1_673     183     
3dx1_679     193     
3dx1_683     106     
3dx1_687     123     
3dx1_692     288     
3dx1_693     256     
3dx1_695     165     
3dx1_700     216     
3dx1_735     400     
3dx1_750     284     
3dx1_753     333     
3dx1_756     326     
3dx1_763     335     
3dx1_766     322     
3dx1_775     267     
3dx1_776     252     
3dx1_781     289     
3dx1_784     320     
3dx1_785     217     
3dx1_787     261     
3dx1_791     341     
3dx1_802     602     
3dx1_808     508     
3dx1_840     402     
3dx1_851     417     
3dx1_861     389     
3dx1_961     412     
3dx1_983     337     
3dx1_987     395     
3dx1_989     364     
3dx1_ligand  473     
