#code        score   
3lka_161     481     
3lka_24      368     
3lka_258     596     
3lka_319     487     
3lka_373     447     
3lka_404     382     
3lka_431     331     
3lka_435     377     
3lka_438     379     
3lka_439     353     
3lka_443     414     
3lka_444     310     
3lka_456     406     
3lka_457     306     
3lka_459     306     
3lka_468     295     
3lka_472     310     
3lka_477     357     
3lka_485     392     
3lka_486     410     
3lka_490     350     
3lka_491     325     
3lka_495     359     
3lka_498     320     
3lka_501     177     
3lka_505     211     
3lka_510     259     
3lka_515     278     
3lka_518     337     
3lka_521     165     
3lka_536     326     
3lka_541     306     
3lka_544     320     
3lka_554     250     
3lka_556     331     
3lka_558     172     
3lka_559     178     
3lka_562     411     
3lka_565     391     
3lka_568     263     
3lka_582     322     
3lka_588     340     
3lka_593     342     
3lka_613     293     
3lka_627     334     
3lka_644     318     
3lka_652     382     
3lka_653     380     
3lka_660     212     
3lka_665     410     
3lka_668     306     
3lka_685     440     
3lka_735     324     
3lka_745     361     
3lka_749     289     
3lka_752     318     
3lka_756     285     
3lka_760     300     
3lka_764     383     
3lka_771     224     
3lka_772     335     
3lka_774     422     
3lka_775     342     
3lka_777     356     
3lka_780     259     
3lka_787     323     
3lka_791     355     
3lka_792     402     
3lka_794     367     
3lka_868     324     
3lka_870     324     
3lka_871     411     
3lka_882     467     
3lka_884     411     
3lka_888     320     
3lka_889     394     
3lka_893     342     
3lka_932     425     
3lka_94      386     
3lka_ligand  409     
