#code        score   
3zt2_116     649     
3zt2_119     732     
3zt2_122     675     
3zt2_136     637     
3zt2_173     704     
3zt2_182     676     
3zt2_195     729     
3zt2_233     703     
3zt2_250     748     
3zt2_323     744     
3zt2_410     593     
3zt2_433     636     
3zt2_444     585     
3zt2_463     552     
3zt2_472     639     
3zt2_473     669     
3zt2_474     624     
3zt2_491     538     
3zt2_5       695     
3zt2_529     604     
3zt2_541     595     
3zt2_561     507     
3zt2_566     480     
3zt2_568     560     
3zt2_571     240     
3zt2_578     244     
3zt2_585     480     
3zt2_589     485     
3zt2_592     385     
3zt2_600     423     
3zt2_649     485     
3zt2_650     577     
3zt2_656     526     
3zt2_670     437     
3zt2_680     632     
3zt2_684     653     
3zt2_685     481     
3zt2_687     385     
3zt2_694     509     
3zt2_696     370     
3zt2_697     529     
3zt2_707     368     
3zt2_728     403     
3zt2_732     456     
3zt2_741     447     
3zt2_753     472     
3zt2_758     216     
3zt2_760     295     
3zt2_761     345     
3zt2_774     256     
3zt2_781     450     
3zt2_782     246     
3zt2_784     231     
3zt2_789     376     
3zt2_793     203     
3zt2_8       607     
3zt2_80      533     
3zt2_804     568     
3zt2_818     551     
3zt2_838     285     
3zt2_844     399     
3zt2_869     267     
3zt2_873     257     
3zt2_ligand  705     
