#code        score   
4kzu_112     947     
4kzu_206     967     
4kzu_256     919     
4kzu_286     982     
4kzu_411     888     
4kzu_422     879     
4kzu_424     829     
4kzu_426     929     
4kzu_429     900     
4kzu_432     732     
4kzu_439     906     
4kzu_455     911     
4kzu_468     824     
4kzu_472     935     
4kzu_474     786     
4kzu_481     890     
4kzu_483     894     
4kzu_491     879     
4kzu_492     879     
4kzu_497     928     
4kzu_499     755     
4kzu_5       906     
4kzu_504     837     
4kzu_524     834     
4kzu_537     572     
4kzu_548     921     
4kzu_549     855     
4kzu_552     881     
4kzu_553     679     
4kzu_559     607     
4kzu_565     854     
4kzu_569     957     
4kzu_570     854     
4kzu_571     839     
4kzu_574     702     
4kzu_575     948     
4kzu_577     757     
4kzu_578     890     
4kzu_582     940     
4kzu_592     706     
4kzu_593     824     
4kzu_594     897     
4kzu_599     834     
4kzu_601     1010    
4kzu_610     888     
4kzu_618     851     
4kzu_619     790     
4kzu_641     806     
4kzu_660     878     
4kzu_661     901     
4kzu_662     915     
4kzu_663     898     
4kzu_668     769     
4kzu_669     965     
4kzu_675     886     
4kzu_678     727     
4kzu_680     955     
4kzu_682     875     
4kzu_690     956     
4kzu_696     928     
4kzu_700     896     
4kzu_708     719     
4kzu_709     904     
4kzu_710     637     
4kzu_712     490     
4kzu_735     435     
4kzu_738     555     
4kzu_740     528     
4kzu_741     522     
4kzu_747     446     
4kzu_752     329     
4kzu_753     436     
4kzu_755     455     
4kzu_757     535     
4kzu_761     372     
4kzu_762     450     
4kzu_775     308     
4kzu_776     766     
4kzu_777     537     
4kzu_786     353     
4kzu_789     398     
4kzu_800     631     
4kzu_847     436     
4kzu_856     852     
4kzu_857     422     
4kzu_861     539     
4kzu_863     349     
4kzu_865     520     
4kzu_867     602     
4kzu_872     646     
4kzu_877     648     
4kzu_878     402     
4kzu_883     285     
4kzu_889     521     
4kzu_907     894     
4kzu_909     838     
4kzu_924     562     
4kzu_932     395     
4kzu_956     570     
4kzu_961     434     
4kzu_ligand  1015    
