#code        score   
1nvq_402     -28.61  
1nvq_405     1.1     
1nvq_410     -18.37  
1nvq_412     0.31    
1nvq_424     -50.05  
1nvq_427     -13.73  
1nvq_431     -44.34  
1nvq_439     -23.08  
1nvq_444     -36.99  
1nvq_446     -6.39   
1nvq_451     -23.82  
1nvq_461     -9.15   
1nvq_464     -22.67  
1nvq_473     -20.26  
1nvq_477     -15.93  
1nvq_481     -32.15  
1nvq_490     -25.7   
1nvq_491     -24.04  
1nvq_498     -10.5   
1nvq_500     -28.35  
1nvq_513     -5.33   
1nvq_522     0.12    
1nvq_524     0.97    
1nvq_543     -2.96   
1nvq_548     -2.07   
1nvq_553     -1.41   
1nvq_555     -4.79   
1nvq_559     -0.04   
1nvq_564     3.64    
1nvq_566     -6.77   
1nvq_573     -5.31   
1nvq_583     -3.65   
1nvq_588     -5.82   
1nvq_600     -29.5   
1nvq_605     0.68    
1nvq_606     -22.99  
1nvq_632     -1.45   
1nvq_634     -16.21  
1nvq_672     -10.32  
1nvq_674     -15.98  
1nvq_687     1.21    
1nvq_689     -12.97  
1nvq_692     -7.13   
1nvq_708     6.39    
1nvq_710     6.6     
1nvq_723     6.33    
1nvq_731     5.21    
1nvq_738     4.71    
1nvq_740     3.57    
1nvq_742     5.05    
1nvq_743     3.67    
1nvq_745     2.84    
1nvq_746     4.17    
1nvq_747     2.53    
1nvq_752     3.37    
1nvq_759     1.18    
1nvq_760     0.96    
1nvq_761     1.18    
1nvq_762     1.09    
1nvq_765     2.2     
1nvq_766     1.93    
1nvq_767     1.43    
1nvq_770     0.42    
1nvq_771     0.57    
1nvq_772     2.01    
1nvq_775     2.19    
1nvq_776     0.1     
1nvq_777     0.03    
1nvq_778     2.27    
1nvq_783     -3.19   
1nvq_867     6.2     
1nvq_871     5.35    
1nvq_885     4.81    
1nvq_927     6.62    
1nvq_940     6.53    
1nvq_ligand  6.73    
