#code        score   
1o0h_105     -999.9  
1o0h_109     -999.9  
1o0h_121     5.04    
1o0h_122     4.83    
1o0h_133     5.2     
1o0h_146     5.27    
1o0h_150     3.42    
1o0h_153     5.02    
1o0h_168     6.16    
1o0h_172     -999.9  
1o0h_178     5.58    
1o0h_187     4.83    
1o0h_194     5.85    
1o0h_203     3.22    
1o0h_208     -999.9  
1o0h_209     2.2     
1o0h_217     -999.9  
1o0h_233     -999.9  
1o0h_251     4       
1o0h_253     5.25    
1o0h_254     5.97    
1o0h_263     2.11    
1o0h_272     6.59    
1o0h_280     3.17    
1o0h_281     5.82    
1o0h_284     6.43    
1o0h_292     5.16    
1o0h_313     5.74    
1o0h_353     6.75    
1o0h_374     -999.9  
1o0h_40      5.55    
1o0h_418     -5.31   
1o0h_419     -13.43  
1o0h_431     -999.9  
1o0h_436     3.12    
1o0h_439     -10.2   
1o0h_450     -23.68  
1o0h_457     -25.4   
1o0h_459     1.79    
1o0h_463     -0.38   
1o0h_466     -999.9  
1o0h_472     -19.86  
1o0h_474     -5.09   
1o0h_482     -17.82  
1o0h_488     -34.61  
1o0h_502     -8.82   
1o0h_507     -5.89   
1o0h_511     5.44    
1o0h_514     -2.14   
1o0h_524     -0.22   
1o0h_526     -6.41   
1o0h_530     3.67    
1o0h_531     -0.69   
1o0h_532     -9.79   
1o0h_536     2.06    
1o0h_539     -3.81   
1o0h_541     -3.08   
1o0h_549     -0.27   
1o0h_551     -5.79   
1o0h_563     -4.74   
1o0h_564     -6.11   
1o0h_565     -3.81   
1o0h_576     -1.06   
1o0h_586     -999.9  
1o0h_594     -7.99   
1o0h_595     4.44    
1o0h_599     -1.05   
1o0h_600     4.09    
1o0h_603     -10.9   
1o0h_606     -11     
1o0h_617     -4.12   
1o0h_618     -14.6   
1o0h_624     -8.31   
1o0h_628     0.33    
1o0h_631     -5.18   
1o0h_637     -2.94   
1o0h_639     -13.97  
1o0h_646     0.24    
1o0h_647     0.76    
1o0h_658     4.1     
1o0h_665     3.44    
1o0h_670     -11.42  
1o0h_680     -2.66   
1o0h_684     -7.18   
1o0h_690     -2.57   
1o0h_691     -2.51   
1o0h_692     4.56    
1o0h_78      6.48    
1o0h_786     3.93    
1o0h_789     4.46    
1o0h_794     4.57    
1o0h_821     6.01    
1o0h_876     6.43    
1o0h_879     5.61    
1o0h_89      -999.9  
1o0h_909     6.67    
1o0h_915     6.35    
1o0h_918     6.09    
1o0h_956     6.12    
1o0h_968     6.41    
1o0h_ligand  6.77    
