#code        score   
1yc1_130     4.3     
1yc1_134     5.34    
1yc1_14      3.87    
1yc1_159     5.97    
1yc1_196     5.42    
1yc1_199     6.06    
1yc1_205     5.65    
1yc1_214     5.24    
1yc1_220     5.39    
1yc1_246     5.53    
1yc1_254     4.13    
1yc1_281     4.58    
1yc1_289     5.78    
1yc1_29      5.57    
1yc1_293     5.79    
1yc1_296     3.74    
1yc1_314     4.62    
1yc1_352     5.97    
1yc1_376     4.01    
1yc1_38      5.33    
1yc1_401     -3.86   
1yc1_403     -12.95  
1yc1_407     -2.96   
1yc1_412     -5.68   
1yc1_413     -15.42  
1yc1_415     2.77    
1yc1_421     -16.52  
1yc1_428     -4.95   
1yc1_429     -1.2    
1yc1_431     -8.24   
1yc1_437     0.99    
1yc1_440     -4.74   
1yc1_441     -1.24   
1yc1_447     -20.11  
1yc1_471     0.37    
1yc1_480     -21.23  
1yc1_483     -7.81   
1yc1_485     1.22    
1yc1_486     -11.83  
1yc1_487     -3.88   
1yc1_492     -6.04   
1yc1_496     -12.84  
1yc1_5       5.82    
1yc1_512     -8.77   
1yc1_516     -3.32   
1yc1_521     -0.9    
1yc1_523     0.23    
1yc1_528     1.27    
1yc1_536     3.5     
1yc1_542     -4.6    
1yc1_546     1.38    
1yc1_549     -4.54   
1yc1_557     -7.67   
1yc1_564     -6.61   
1yc1_570     -0.8    
1yc1_573     -0.91   
1yc1_581     -1.01   
1yc1_582     -3.32   
1yc1_584     -0.46   
1yc1_610     -1.64   
1yc1_612     -1.14   
1yc1_616     -0.07   
1yc1_622     -9.11   
1yc1_630     -8.89   
1yc1_634     -1.93   
1yc1_635     2.77    
1yc1_636     -0.68   
1yc1_642     -13.84  
1yc1_644     -17.2   
1yc1_653     -12.81  
1yc1_663     2.41    
1yc1_680     -3.79   
1yc1_684     -8.59   
1yc1_687     -0.06   
1yc1_688     -7.85   
1yc1_689     -7.77   
1yc1_691     -9.39   
1yc1_700     -11.67  
1yc1_765     4.63    
1yc1_784     5.68    
1yc1_ligand  5.64    
