#code        score   
3rlr_100     2.77    
3rlr_112     3.69    
3rlr_12      3.46    
3rlr_148     3.05    
3rlr_167     4.15    
3rlr_192     3.84    
3rlr_197     3.71    
3rlr_281     3.29    
3rlr_335     2.59    
3rlr_341     4.14    
3rlr_347     4.73    
3rlr_365     4.18    
3rlr_397     3.74    
3rlr_398     4.58    
3rlr_410     0.34    
3rlr_415     -8.55   
3rlr_418     -17.61  
3rlr_423     -2.49   
3rlr_428     -10.4   
3rlr_432     -5.6    
3rlr_439     -13.37  
3rlr_440     -14.25  
3rlr_444     -30.89  
3rlr_456     -9.98   
3rlr_457     -17.6   
3rlr_47      2.29    
3rlr_477     3.04    
3rlr_480     -9.93   
3rlr_482     -2.85   
3rlr_483     -10.54  
3rlr_488     -20.61  
3rlr_490     -0.24   
3rlr_498     0.68    
3rlr_506     -6.22   
3rlr_524     -1.41   
3rlr_537     -0.47   
3rlr_539     1.17    
3rlr_557     -12.68  
3rlr_560     -6.82   
3rlr_583     -7.16   
3rlr_586     -23.2   
3rlr_591     -6.88   
3rlr_595     -3.66   
3rlr_596     -0.86   
3rlr_598     -4.22   
3rlr_6       2.05    
3rlr_617     -2.89   
3rlr_628     -2.3    
3rlr_632     -6.11   
3rlr_633     -0.69   
3rlr_634     -1.86   
3rlr_638     -2.99   
3rlr_640     -12.98  
3rlr_642     -17.69  
3rlr_650     0.24    
3rlr_653     -2.27   
3rlr_655     2.49    
3rlr_658     -2.62   
3rlr_660     -0.15   
3rlr_663     -8.96   
3rlr_667     -24.49  
3rlr_675     -3.88   
3rlr_68      2.84    
3rlr_682     -2.6    
3rlr_685     -3.15   
3rlr_686     2.23    
3rlr_762     -999.9  
3rlr_772     1.37    
3rlr_778     -7.06   
3rlr_780     -10.49  
3rlr_904     4.33    
3rlr_ligand  4.39    
