#code        score   
4ddh_1       3.97    
4ddh_13      4.22    
4ddh_130     4.24    
4ddh_181     4.97    
4ddh_27      3.72    
4ddh_270     2.79    
4ddh_294     4.52    
4ddh_296     3.75    
4ddh_343     5.12    
4ddh_349     -999.9  
4ddh_401     1.28    
4ddh_416     4.08    
4ddh_421     1.66    
4ddh_422     2.44    
4ddh_427     2.57    
4ddh_432     0.28    
4ddh_439     3.14    
4ddh_448     2.37    
4ddh_455     3.17    
4ddh_459     1.11    
4ddh_462     -11.79  
4ddh_465     2.16    
4ddh_466     1.08    
4ddh_471     -5.14   
4ddh_489     -0.43   
4ddh_490     1.8     
4ddh_500     -0.42   
4ddh_507     2.24    
4ddh_514     2.02    
4ddh_519     1.37    
4ddh_530     0.66    
4ddh_542     1.74    
4ddh_543     -0.74   
4ddh_545     1.6     
4ddh_547     3.72    
4ddh_548     -0.62   
4ddh_555     1.33    
4ddh_559     2.78    
4ddh_564     2.05    
4ddh_574     3.28    
4ddh_589     -1.69   
4ddh_591     -0.03   
4ddh_592     1.62    
4ddh_593     3.13    
4ddh_620     1.49    
4ddh_632     2.32    
4ddh_641     1.37    
4ddh_649     1.48    
4ddh_651     1.77    
4ddh_659     3.14    
4ddh_671     2.8     
4ddh_684     0.92    
4ddh_688     0.46    
4ddh_734     3.67    
4ddh_754     4.41    
4ddh_762     3.15    
4ddh_763     3.2     
4ddh_764     3.14    
4ddh_770     4.47    
4ddh_771     3.25    
4ddh_773     -999.9  
4ddh_774     3.36    
4ddh_781     2.33    
4ddh_782     1.56    
4ddh_783     3.13    
4ddh_784     2.15    
4ddh_79      3.93    
4ddh_794     2.15    
4ddh_795     2       
4ddh_796     1.96    
4ddh_80      3.82    
4ddh_843     3.82    
4ddh_868     3.42    
4ddh_882     4.56    
4ddh_885     3.68    
4ddh_911     4.02    
4ddh_971     3.87    
4ddh_ligand  4.1     
