#code        score   
4e5w_109     0.93    
4e5w_121     6.07    
4e5w_13      3.63    
4e5w_141     3.37    
4e5w_151     -1.05   
4e5w_17      3.41    
4e5w_174     6       
4e5w_202     5.87    
4e5w_24      1.66    
4e5w_247     6.05    
4e5w_286     6.13    
4e5w_3       2.08    
4e5w_310     3.97    
4e5w_320     4.54    
4e5w_336     3.51    
4e5w_344     4.9     
4e5w_360     1.89    
4e5w_367     3.95    
4e5w_384     3.18    
4e5w_4       2.71    
4e5w_406     -10.72  
4e5w_416     -18.15  
4e5w_436     -23.14  
4e5w_441     -21.28  
4e5w_442     -11.71  
4e5w_444     -8.76   
4e5w_445     -16     
4e5w_447     -4.44   
4e5w_448     -21.36  
4e5w_451     -36.58  
4e5w_452     -11.93  
4e5w_453     -7.58   
4e5w_457     -14.99  
4e5w_464     -2.48   
4e5w_469     -20.33  
4e5w_47      2.45    
4e5w_476     -31.38  
4e5w_479     -28.37  
4e5w_483     -15.62  
4e5w_484     -15.35  
4e5w_486     -6.45   
4e5w_489     -2.85   
4e5w_508     -4.27   
4e5w_518     -7.24   
4e5w_52      2.89    
4e5w_526     -11.41  
4e5w_528     -5.44   
4e5w_531     -11.74  
4e5w_536     -2.07   
4e5w_542     -6.18   
4e5w_543     -6.14   
4e5w_549     -3.71   
4e5w_552     -13.95  
4e5w_553     -15.49  
4e5w_560     -9.37   
4e5w_563     -0.73   
4e5w_575     -0.02   
4e5w_577     -9.21   
4e5w_579     -21.04  
4e5w_58      2.03    
4e5w_583     -11.62  
4e5w_585     0.68    
4e5w_586     -0.77   
4e5w_590     -0.13   
4e5w_592     -16.39  
4e5w_593     0.69    
4e5w_597     -33.32  
4e5w_599     0.2     
4e5w_606     -11.01  
4e5w_617     -16.43  
4e5w_631     -12.19  
4e5w_639     -9.21   
4e5w_641     -15.95  
4e5w_647     -1.13   
4e5w_652     -22.88  
4e5w_658     -0.09   
4e5w_659     -6.22   
4e5w_663     -17.37  
4e5w_664     -0.49   
4e5w_668     -2.61   
4e5w_673     -2.7    
4e5w_675     -11.21  
4e5w_676     -4.05   
4e5w_679     -6.95   
4e5w_682     -11.97  
4e5w_684     -5.84   
4e5w_694     -13.28  
4e5w_698     -14.89  
4e5w_699     -8.48   
4e5w_7       1.74    
4e5w_76      2.86    
4e5w_779     3.97    
4e5w_789     -0.47   
4e5w_803     -0.95   
4e5w_808     -2.3    
4e5w_821     -2.36   
4e5w_883     5.53    
4e5w_905     3.87    
4e5w_91      3.35    
4e5w_96      5.19    
4e5w_ligand  6.18    
