#code        score   
4gid_132     1.74    
4gid_134     5.92    
4gid_197     7.78    
4gid_201     8.37    
4gid_204     -3.71   
4gid_205     4.24    
4gid_217     -14.13  
4gid_229     2.38    
4gid_230     6.83    
4gid_232     2.53    
4gid_235     4.01    
4gid_237     0.92    
4gid_242     4.01    
4gid_245     6.76    
4gid_246     3.94    
4gid_257     3.79    
4gid_259     3.87    
4gid_269     8.12    
4gid_270     -0.71   
4gid_276     -5.59   
4gid_277     3.3     
4gid_282     -1.65   
4gid_285     1.97    
4gid_290     -9.64   
4gid_291     2.74    
4gid_298     7.25    
4gid_301     3.7     
4gid_311     2.88    
4gid_315     2.53    
4gid_324     0.86    
4gid_336     8.1     
4gid_368     4.17    
4gid_372     1.01    
4gid_39      2.59    
4gid_393     2.59    
4gid_402     -60.15  
4gid_405     -92.81  
4gid_408     -86.31  
4gid_412     -101.34 
4gid_416     -88.06  
4gid_421     -88.45  
4gid_428     -90.34  
4gid_429     -90.86  
4gid_433     -95.44  
4gid_435     -51.94  
4gid_449     -69.88  
4gid_453     -134.38 
4gid_462     -89.37  
4gid_475     -54     
4gid_479     -75.32  
4gid_481     -71.78  
4gid_482     -82.72  
4gid_483     -108.68 
4gid_486     -93.49  
4gid_506     -20.71  
4gid_507     -17.76  
4gid_509     -51.45  
4gid_54      4.52    
4gid_577     -74.62  
4gid_580     -78.57  
4gid_596     -34.75  
4gid_625     -15.51  
4gid_629     -27.23  
4gid_630     -40.54  
4gid_666     -102.65 
4gid_699     -58.14  
4gid_700     -45.07  
4gid_713     5.85    
4gid_718     3.91    
4gid_725     5.22    
4gid_732     3.82    
4gid_735     4.63    
4gid_739     4.75    
4gid_744     1.14    
4gid_752     5.4     
4gid_766     -1.24   
4gid_770     -0.68   
4gid_78      3.96    
4gid_789     8.89    
4gid_791     7.95    
4gid_792     8.12    
4gid_796     6.95    
4gid_804     6.83    
4gid_809     6.36    
4gid_811     6.93    
4gid_815     6.64    
4gid_833     5.14    
4gid_860     0.08    
4gid_861     6.38    
4gid_874     4.08    
4gid_880     6.4     
4gid_897     6.88    
4gid_937     6.84    
4gid_941     7.38    
4gid_943     6.61    
4gid_944     6.87    
4gid_946     7.09    
4gid_948     6.28    
4gid_951     6.57    
4gid_959     6.18    
4gid_ligand  9.05    
