#code        score   
4kzq_133     4.11    
4kzq_14      4.17    
4kzq_163     3.53    
4kzq_311     3.83    
4kzq_409     2.93    
4kzq_425     -5.31   
4kzq_427     -6.86   
4kzq_428     0.67    
4kzq_432     -11.14  
4kzq_434     0.19    
4kzq_436     -5.76   
4kzq_446     1.84    
4kzq_447     -0.8    
4kzq_455     -7.55   
4kzq_458     -3.74   
4kzq_467     -0.43   
4kzq_469     -4.01   
4kzq_472     -8.47   
4kzq_475     1.32    
4kzq_485     -10.67  
4kzq_494     -5.35   
4kzq_495     -3.67   
4kzq_496     -1.13   
4kzq_5       3.7     
4kzq_500     -1.12   
4kzq_507     -6.26   
4kzq_511     -5.69   
4kzq_515     4.34    
4kzq_523     1.96    
4kzq_539     -0.78   
4kzq_543     -0.42   
4kzq_550     -2.6    
4kzq_557     1.38    
4kzq_560     -0.67   
4kzq_566     -5.82   
4kzq_569     -4.41   
4kzq_576     -1.36   
4kzq_584     -0.73   
4kzq_590     0.88    
4kzq_593     0.22    
4kzq_600     -3.43   
4kzq_607     -6.99   
4kzq_609     0.79    
4kzq_612     1.68    
4kzq_615     -0.78   
4kzq_62      4.23    
4kzq_624     -3.68   
4kzq_632     2.84    
4kzq_635     0.4     
4kzq_641     -12.09  
4kzq_651     1.51    
4kzq_667     -0.07   
4kzq_682     -0.94   
4kzq_692     0.99    
4kzq_697     -1.45   
4kzq_72      3.9     
4kzq_740     3       
4kzq_745     4.01    
4kzq_748     1.25    
4kzq_749     -999.9  
4kzq_755     3.66    
4kzq_758     -999.9  
4kzq_764     -999.9  
4kzq_766     -999.9  
4kzq_769     -999.9  
4kzq_776     -999.9  
4kzq_778     2.68    
4kzq_781     -999.9  
4kzq_782     -999.9  
4kzq_783     -999.9  
4kzq_784     -999.9  
4kzq_794     -14.13  
4kzq_837     2.4     
4kzq_838     2.24    
4kzq_845     -999.9  
4kzq_847     1.97    
4kzq_856     -999.9  
4kzq_861     -999.9  
4kzq_865     1.87    
4kzq_866     -999.9  
4kzq_868     2.74    
4kzq_874     1.53    
4kzq_875     -999.9  
4kzq_876     -0.65   
4kzq_877     3.04    
4kzq_878     -999.9  
4kzq_880     -999.9  
4kzq_883     2.84    
4kzq_884     3.38    
4kzq_888     1.8     
4kzq_890     1.22    
4kzq_891     -999.9  
4kzq_892     -999.9  
4kzq_893     2.18    
4kzq_974     3.21    
4kzq_990     3.9     
4kzq_ligand  4.03    
