#code        score   
1k1i_108     -0.41   
1k1i_115     3.33    
1k1i_159     3.87    
1k1i_167     3.2     
1k1i_171     5.73    
1k1i_172     5.18    
1k1i_201     0.95    
1k1i_204     3.94    
1k1i_207     2.13    
1k1i_214     2.69    
1k1i_247     0.1     
1k1i_250     0.02    
1k1i_252     3.72    
1k1i_253     3.35    
1k1i_258     2.1     
1k1i_260     -1.11   
1k1i_273     0.77    
1k1i_275     0.09    
1k1i_282     3.53    
1k1i_287     0.48    
1k1i_295     2.61    
1k1i_306     5.22    
1k1i_308     5.81    
1k1i_355     5.17    
1k1i_357     5.19    
1k1i_358     4.84    
1k1i_36      5.18    
1k1i_37      5.17    
1k1i_377     4.55    
1k1i_379     5.93    
1k1i_384     5.89    
1k1i_385     5.08    
1k1i_40      5.77    
1k1i_401     -42.22  
1k1i_404     -24.5   
1k1i_406     -22.13  
1k1i_430     -18.95  
1k1i_434     -37.59  
1k1i_447     -37.25  
1k1i_45      5.72    
1k1i_464     -10.58  
1k1i_475     -45.31  
1k1i_495     -20.23  
1k1i_496     -2.16   
1k1i_513     -4.78   
1k1i_521     -10.61  
1k1i_523     -9.23   
1k1i_55      5.25    
1k1i_550     -16.72  
1k1i_563     -13.5   
1k1i_565     3.54    
1k1i_567     -15.08  
1k1i_571     -7.48   
1k1i_576     -15.55  
1k1i_581     -8.5    
1k1i_600     -0.07   
1k1i_620     -999.9  
1k1i_650     -15.46  
1k1i_666     -15.2   
1k1i_675     -25.9   
1k1i_68      4.9     
1k1i_69      5.17    
1k1i_692     -13.46  
1k1i_693     0.52    
1k1i_698     -7.85   
1k1i_701     5.53    
1k1i_702     5.26    
1k1i_703     5.78    
1k1i_71      6.49    
1k1i_723     4.45    
1k1i_79      6.54    
1k1i_826     5.67    
1k1i_871     5.22    
1k1i_896     6.15    
1k1i_900     6.1     
1k1i_919     5.97    
1k1i_938     5.51    
1k1i_942     5.11    
1k1i_97      6.43    
1k1i_ligand  6.46    
