#code        score   
3dx2_14      4.23    
3dx2_225     4.64    
3dx2_253     3.74    
3dx2_293     3.87    
3dx2_380     3.82    
3dx2_39      2.88    
3dx2_402     1.97    
3dx2_426     -3.78   
3dx2_443     -25.01  
3dx2_472     -9.56   
3dx2_479     -22.63  
3dx2_482     -25.16  
3dx2_503     -18.55  
3dx2_508     -5.23   
3dx2_514     0.6     
3dx2_534     -15.38  
3dx2_535     -5.52   
3dx2_549     -8.94   
3dx2_555     -39.4   
3dx2_570     1.96    
3dx2_573     3.93    
3dx2_576     2.85    
3dx2_582     -29.79  
3dx2_583     -3.02   
3dx2_589     3.25    
3dx2_591     2.52    
3dx2_599     2.84    
3dx2_602     -6.54   
3dx2_610     1.61    
3dx2_628     -3.94   
3dx2_631     -1.11   
3dx2_636     -18.1   
3dx2_646     -3.21   
3dx2_649     -0.57   
3dx2_656     1.92    
3dx2_659     -5.93   
3dx2_661     0.7     
3dx2_677     0.38    
3dx2_687     -2.65   
3dx2_691     -1.82   
3dx2_725     3.91    
3dx2_736     -0.21   
3dx2_741     2.08    
3dx2_743     4.12    
3dx2_750     4.22    
3dx2_754     4.6     
3dx2_756     -0.25   
3dx2_761     2.38    
3dx2_770     4.35    
3dx2_772     3.94    
3dx2_773     4.23    
3dx2_774     -0.9    
3dx2_787     0.41    
3dx2_820     4.03    
3dx2_836     2.32    
3dx2_893     4.77    
3dx2_990     4.39    
3dx2_ligand  3.18    
