#code        score   
3e92_106     5.7     
3e92_17      6.25    
3e92_19      4.57    
3e92_332     5.21    
3e92_407     -1.4    
3e92_418     -12.52  
3e92_423     -25.63  
3e92_425     -3.07   
3e92_434     -15.06  
3e92_435     -14.23  
3e92_436     -31.09  
3e92_438     -19.4   
3e92_446     -22.58  
3e92_449     -26.09  
3e92_450     -15.34  
3e92_453     -26.15  
3e92_470     -37.42  
3e92_471     -33.56  
3e92_475     -27.57  
3e92_482     -15.71  
3e92_490     -49.79  
3e92_493     -15.26  
3e92_497     -12.61  
3e92_498     -14.83  
3e92_500     -23.34  
3e92_506     -0.85   
3e92_513     -3.53   
3e92_518     -2.83   
3e92_523     -9.71   
3e92_525     -14.43  
3e92_526     -8.16   
3e92_528     -6.15   
3e92_534     -1.55   
3e92_538     -20.32  
3e92_540     -8.44   
3e92_541     -6.28   
3e92_542     -6.95   
3e92_544     -4.85   
3e92_545     -1.18   
3e92_546     -25.26  
3e92_547     -7.52   
3e92_551     -11.09  
3e92_552     -5.68   
3e92_553     -11.77  
3e92_554     -8.61   
3e92_555     -8.6    
3e92_557     -10.83  
3e92_560     -9.04   
3e92_562     -8.49   
3e92_578     -12.34  
3e92_579     -26.57  
3e92_581     -1.99   
3e92_582     -6.56   
3e92_588     -8.61   
3e92_589     -12.2   
3e92_590     -9.98   
3e92_593     -11.69  
3e92_594     -7.94   
3e92_596     -29.37  
3e92_597     -12.57  
3e92_598     -15.62  
3e92_599     -0.63   
3e92_623     -11.78  
3e92_625     -7.84   
3e92_627     -5.79   
3e92_64      5.6     
3e92_656     -19.57  
3e92_664     -0.82   
3e92_669     -20.19  
3e92_670     -7.65   
3e92_678     -4.88   
3e92_679     -15.91  
3e92_685     -5.47   
3e92_689     -5.85   
3e92_692     -14.69  
3e92_693     -24.91  
3e92_697     -22.13  
3e92_698     -23.3   
3e92_732     -999.9  
3e92_733     3.59    
3e92_735     3.08    
3e92_745     3.42    
3e92_752     2.96    
3e92_758     0.56    
3e92_760     2.27    
3e92_845     3.73    
3e92_846     2.24    
3e92_847     2.84    
3e92_907     6.76    
3e92_940     5.5     
3e92_ligand  7       
