#code        score   
3pyy_13      4.45    
3pyy_209     5.44    
3pyy_219     2.49    
3pyy_224     5.03    
3pyy_230     -1.32   
3pyy_232     -11.25  
3pyy_245     4.86    
3pyy_247     3.08    
3pyy_248     4.58    
3pyy_263     4.68    
3pyy_277     1.05    
3pyy_280     0.05    
3pyy_283     -2.29   
3pyy_284     2.02    
3pyy_287     2.86    
3pyy_290     3.57    
3pyy_296     5.57    
3pyy_297     1.83    
3pyy_363     4.39    
3pyy_377     4.01    
3pyy_407     -6.84   
3pyy_410     -6.74   
3pyy_411     -7.07   
3pyy_422     -5.77   
3pyy_444     -31.53  
3pyy_449     -14.98  
3pyy_453     -31.87  
3pyy_454     -22.57  
3pyy_455     -7.56   
3pyy_466     -7.36   
3pyy_489     -0.17   
3pyy_498     -15.95  
3pyy_500     -6.18   
3pyy_518     -4.33   
3pyy_529     -15.15  
3pyy_535     -2.99   
3pyy_547     -13.17  
3pyy_554     -3.45   
3pyy_600     -19.73  
3pyy_604     -31.7   
3pyy_630     -5.05   
3pyy_633     -3.16   
3pyy_636     -34.1   
3pyy_640     -21.26  
3pyy_641     -24.52  
3pyy_650     -6.89   
3pyy_667     -1.37   
3pyy_689     -11.32  
3pyy_694     -3.11   
3pyy_699     -13.68  
3pyy_709     4.62    
3pyy_711     4.15    
3pyy_719     4.07    
3pyy_738     3.83    
3pyy_742     3.91    
3pyy_745     3.56    
3pyy_746     3.57    
3pyy_751     3.58    
3pyy_757     2.07    
3pyy_760     3.6     
3pyy_763     3.7     
3pyy_766     0.34    
3pyy_778     3.96    
3pyy_780     3.18    
3pyy_781     4.2     
3pyy_782     3.47    
3pyy_784     3.36    
3pyy_785     3.05    
3pyy_787     -999.9  
3pyy_792     2.9     
3pyy_793     3.36    
3pyy_796     0.14    
3pyy_812     4.97    
3pyy_817     4.53    
3pyy_822     4.16    
3pyy_832     4.73    
3pyy_839     4.56    
3pyy_850     4.77    
3pyy_86      4.54    
3pyy_875     3.68    
3pyy_88      3.25    
3pyy_896     2.89    
3pyy_899     4.21    
3pyy_92      5.18    
3pyy_933     4.33    
3pyy_954     3.06    
3pyy_967     2.78    
3pyy_981     1.68    
3pyy_ligand  5.72    
