#code        score   
4f3c_101     1.63    
4f3c_104     2.91    
4f3c_140     2.11    
4f3c_150     1.61    
4f3c_178     3.3     
4f3c_190     1.94    
4f3c_21      3.66    
4f3c_251     3.24    
4f3c_28      3.06    
4f3c_301     4.38    
4f3c_308     3.41    
4f3c_323     3.59    
4f3c_362     4.57    
4f3c_363     1.86    
4f3c_382     5.54    
4f3c_390     4.01    
4f3c_394     2.67    
4f3c_400     1.28    
4f3c_403     -3.19   
4f3c_404     -4.26   
4f3c_409     -39.02  
4f3c_420     -41.86  
4f3c_429     -33.25  
4f3c_430     -27.13  
4f3c_434     -34.72  
4f3c_445     -13.75  
4f3c_447     -12.73  
4f3c_450     -36.82  
4f3c_451     -30.33  
4f3c_452     -31.84  
4f3c_458     -23.42  
4f3c_463     -35.72  
4f3c_465     -26.26  
4f3c_470     -36.44  
4f3c_472     -27.62  
4f3c_474     -53.2   
4f3c_479     -16.39  
4f3c_480     -31.32  
4f3c_481     -23.43  
4f3c_490     -21.15  
4f3c_496     -16.94  
4f3c_497     -30.57  
4f3c_507     -13     
4f3c_513     -19.34  
4f3c_514     -2.92   
4f3c_516     -8.72   
4f3c_523     -9.66   
4f3c_524     -7.32   
4f3c_525     -20.95  
4f3c_530     -1.64   
4f3c_538     1.91    
4f3c_54      2.68    
4f3c_542     -16.41  
4f3c_544     -15.36  
4f3c_545     -2.19   
4f3c_553     -12.69  
4f3c_556     -4.05   
4f3c_558     -26.02  
4f3c_559     -25.99  
4f3c_561     -15.03  
4f3c_563     -25.86  
4f3c_568     -20.26  
4f3c_569     2.34    
4f3c_57      3.33    
4f3c_573     -15.75  
4f3c_577     -5.54   
4f3c_585     -0.1    
4f3c_587     -11.05  
4f3c_592     -48.33  
4f3c_595     -12.23  
4f3c_6       3.12    
4f3c_600     -19.81  
4f3c_61      5.89    
4f3c_612     -39.14  
4f3c_642     -4.12   
4f3c_643     -12.13  
4f3c_646     -26.42  
4f3c_667     -1.97   
4f3c_680     -20.99  
4f3c_682     -21.16  
4f3c_685     -10.56  
4f3c_687     -33.64  
4f3c_688     -19.64  
4f3c_689     0.37    
4f3c_693     -17.36  
4f3c_696     -19.06  
4f3c_72      0.07    
4f3c_744     6.3     
4f3c_755     6.57    
4f3c_773     5.98    
4f3c_833     6.39    
4f3c_871     5.83    
4f3c_885     6       
4f3c_926     6.3     
4f3c_ligand  6.66    
