#code        score   
4j28_110     5.17    
4j28_123     4.83    
4j28_154     5.27    
4j28_173     5.3     
4j28_183     5.46    
4j28_196     4.69    
4j28_208     4.1     
4j28_215     3.65    
4j28_227     3.9     
4j28_265     3.7     
4j28_300     3.47    
4j28_303     5.2     
4j28_313     5.4     
4j28_406     2.89    
4j28_410     -3.96   
4j28_42      4.89    
4j28_425     2.23    
4j28_429     -3.5    
4j28_437     1.5     
4j28_439     -11.38  
4j28_451     1.85    
4j28_457     0.28    
4j28_458     -3.87   
4j28_494     -0.14   
4j28_534     3.29    
4j28_536     2.82    
4j28_543     -0.14   
4j28_555     -0.47   
4j28_562     -6.39   
4j28_566     -0.69   
4j28_574     0.08    
4j28_579     4.24    
4j28_580     -2.44   
4j28_583     4.71    
4j28_587     3.45    
4j28_593     -8.07   
4j28_600     3.15    
4j28_646     -2.33   
4j28_657     2.22    
4j28_661     1.7     
4j28_691     -16.01  
4j28_692     3.78    
4j28_732     4.08    
4j28_737     3.93    
4j28_743     3.31    
4j28_744     4.78    
4j28_753     5.09    
4j28_758     4.2     
4j28_772     0.7     
4j28_775     3.95    
4j28_785     -1.67   
4j28_790     -2.1    
4j28_792     -18.63  
4j28_794     5.24    
4j28_828     3.85    
4j28_829     4.06    
4j28_846     4.19    
4j28_852     4.98    
4j28_858     3.77    
4j28_863     3.35    
4j28_864     4.13    
4j28_866     3.53    
4j28_867     4.26    
4j28_877     1.9     
4j28_899     5.03    
4j28_912     5.71    
4j28_944     4.25    
4j28_961     4.81    
4j28_981     -1.2    
4j28_988     3.48    
4j28_ligand  4.69    
