#code        score   
4w9c_172     1.94    
4w9c_186     3.78    
4w9c_249     3.72    
4w9c_326     -2.28   
4w9c_333     3.72    
4w9c_36      0.19    
4w9c_363     3.56    
4w9c_372     4.92    
4w9c_379     5.13    
4w9c_381     4.82    
4w9c_405     -15.24  
4w9c_415     -32.18  
4w9c_420     -1.94   
4w9c_423     -13.87  
4w9c_432     -10.28  
4w9c_446     -25.46  
4w9c_450     -24.87  
4w9c_452     -8.82   
4w9c_456     -71.18  
4w9c_457     -20.77  
4w9c_460     -17.59  
4w9c_462     -10.97  
4w9c_473     -11.55  
4w9c_476     -43.99  
4w9c_477     -17.38  
4w9c_48      3.45    
4w9c_483     -29.04  
4w9c_486     -10.46  
4w9c_487     -12.82  
4w9c_490     -28.33  
4w9c_494     -30.47  
4w9c_499     -43.02  
4w9c_513     -0.13   
4w9c_516     -0.13   
4w9c_520     3.93    
4w9c_528     -8.77   
4w9c_533     -1.12   
4w9c_538     -21.2   
4w9c_543     -9.3    
4w9c_545     -2.3    
4w9c_546     -2.76   
4w9c_550     -8.99   
4w9c_556     -31.02  
4w9c_558     -3.42   
4w9c_560     -5.02   
4w9c_561     -1.37   
4w9c_562     -14.74  
4w9c_567     -0.21   
4w9c_569     -7.65   
4w9c_580     -7.73   
4w9c_59      -999.9  
4w9c_594     1.56    
4w9c_597     -24.78  
4w9c_6       2.88    
4w9c_603     -25.15  
4w9c_604     -4.24   
4w9c_613     -13.79  
4w9c_623     -8.18   
4w9c_628     -0.33   
4w9c_636     -11.56  
4w9c_637     -4.97   
4w9c_638     -21.43  
4w9c_639     -11.63  
4w9c_642     -9.72   
4w9c_646     -4.08   
4w9c_660     -5.33   
4w9c_661     -11.54  
4w9c_664     -9.39   
4w9c_670     -8.33   
4w9c_677     -3.8    
4w9c_683     -8.16   
4w9c_691     -28.89  
4w9c_695     -12.14  
4w9c_697     1.72    
4w9c_699     0.18    
4w9c_7       -999.9  
4w9c_712     5.15    
4w9c_719     5.67    
4w9c_720     5.45    
4w9c_732     5.82    
4w9c_735     4.32    
4w9c_739     4.22    
4w9c_758     5.28    
4w9c_765     5.09    
4w9c_768     5.27    
4w9c_772     4.69    
4w9c_777     5.03    
4w9c_778     4.28    
4w9c_806     4.91    
4w9c_85      1.79    
4w9c_854     4.53    
4w9c_906     5.56    
4w9c_925     5.51    
4w9c_955     5.47    
4w9c_963     4.72    
4w9c_968     4.77    
4w9c_ligand  5.6     
