#code        score   
4w9h_100     2.66    
4w9h_119     1.98    
4w9h_124     3.44    
4w9h_135     2.6     
4w9h_143     4.64    
4w9h_158     3.35    
4w9h_166     -1.61   
4w9h_182     2.27    
4w9h_204     3.2     
4w9h_210     3.55    
4w9h_241     3.21    
4w9h_307     4.07    
4w9h_326     -3.68   
4w9h_327     -0.05   
4w9h_336     3.34    
4w9h_365     1.59    
4w9h_368     3.62    
4w9h_391     3.68    
4w9h_392     1.23    
4w9h_402     -63.12  
4w9h_403     -68.95  
4w9h_404     0.73    
4w9h_408     -61.27  
4w9h_410     -37.72  
4w9h_413     -61.24  
4w9h_416     -41.81  
4w9h_429     -27.69  
4w9h_434     -60.24  
4w9h_435     -23.37  
4w9h_436     -44     
4w9h_446     -49.36  
4w9h_447     -34.47  
4w9h_449     -39.73  
4w9h_456     -15.19  
4w9h_462     -27.97  
4w9h_464     -32.17  
4w9h_469     -26.14  
4w9h_474     -18.54  
4w9h_481     -47.78  
4w9h_484     -58.09  
4w9h_485     -34.17  
4w9h_493     -21.21  
4w9h_495     -38.27  
4w9h_498     -54.08  
4w9h_499     -93.89  
4w9h_504     -9.03   
4w9h_511     -12.72  
4w9h_515     -3.03   
4w9h_516     -23.9   
4w9h_520     -24.03  
4w9h_523     -3.13   
4w9h_527     -5.15   
4w9h_530     3.74    
4w9h_532     -7.45   
4w9h_537     3.05    
4w9h_538     -18.54  
4w9h_546     -26.66  
4w9h_548     0.78    
4w9h_554     -44.84  
4w9h_555     1.17    
4w9h_561     -8.14   
4w9h_589     1.26    
4w9h_596     -12.9   
4w9h_597     1.3     
4w9h_598     2.7     
4w9h_612     -8.51   
4w9h_616     -6.87   
4w9h_618     -22.71  
4w9h_626     -6.05   
4w9h_637     -1.18   
4w9h_642     -24.71  
4w9h_647     0.34    
4w9h_655     -1.7    
4w9h_658     -15.47  
4w9h_662     -3.74   
4w9h_663     -13.58  
4w9h_664     -20.39  
4w9h_666     0.6     
4w9h_667     -15.3   
4w9h_676     -11.61  
4w9h_677     -19.54  
4w9h_679     -2.11   
4w9h_691     -10.07  
4w9h_699     -3.6    
4w9h_709     5.75    
4w9h_710     5.84    
4w9h_740     5.17    
4w9h_765     5.45    
4w9h_770     4.93    
4w9h_771     5.38    
4w9h_773     5.06    
4w9h_780     4.33    
4w9h_784     4.93    
4w9h_787     -0.15   
4w9h_801     5.03    
4w9h_84      2.27    
4w9h_90      4.72    
4w9h_922     4.22    
4w9h_961     4.26    
4w9h_976     5.65    
4w9h_ligand  5.37    
