#code        score   
3g31_107     -7.5622039
3g31_109     -8.8092394
3g31_136     -5.8907528
3g31_210     -8.9120493
3g31_218     -6.9636011
3g31_246     -7.2641516
3g31_288     -7.3603053
3g31_339     -6.9668722
3g31_36      -6.7342563
3g31_362     -8.265316
3g31_392     -7.2878561
3g31_402     -7.3044372
3g31_405     -6.9579744
3g31_413     -4.9510584
3g31_416     -2.7704868
3g31_437     -0.52157658
3g31_442     -4.7429986
3g31_447     -5.0192561
3g31_448     -6.6372585
3g31_457     -5.0789104
3g31_461     6.5941644
3g31_469     0.10409576
3g31_472     -4.8143868
3g31_473     1.7228932
3g31_474     -3.9563608
3g31_475     -3.7840247
3g31_478     -4.9187722
3g31_488     -4.4973063
3g31_496     0.10038412
3g31_498     -4.7568307
3g31_499     -5.1739869
3g31_512     -6.8734918
3g31_526     -5.22188
3g31_531     -5.9136658
3g31_532     -5.7294984
3g31_534     -7.5496182
3g31_535     -4.7857594
3g31_537     -5.4805322
3g31_556     -5.1907892
3g31_571     -7.7659807
3g31_580     -4.543889
3g31_581     -5.2462983
3g31_582     -4.8919578
3g31_584     -4.7890449
3g31_585     -5.0701337
3g31_588     -4.7088594
3g31_596     -5.7705121
3g31_644     -6.3629818
3g31_648     -6.3095551
3g31_652     -6.2424927
3g31_653     -6.242198
3g31_659     -6.1709642
3g31_663     -6.0507946
3g31_670     -5.9076333
3g31_673     -5.8584728
3g31_687     -5.6603069
3g31_692     -5.5577388
3g31_693     -5.5528474
3g31_697     -5.5042233
3g31_699     -5.4345884
3g31_700     -5.4443946
3g31_740     -6.8913646
3g31_781     -8.2333946
3g31_785     -4.9005456
3g31_786     -8.3039637
3g31_791     -6.825758
3g31_802     -5.9067478
3g31_ligand  -6.3807936
