#code        score   
3zsx_113     -8.6400061
3zsx_136     -8.6014185
3zsx_138     -11.764836
3zsx_175     -8.5049038
3zsx_20      -8.0621204
3zsx_201     -9.5645275
3zsx_21      -7.8336649
3zsx_210     -10.531757
3zsx_213     -10.987027
3zsx_217     -9.2818985
3zsx_226     -10.382876
3zsx_229     -9.365653
3zsx_230     -11.670943
3zsx_231     -9.2844467
3zsx_235     -9.2492218
3zsx_237     -9.4911966
3zsx_240     -9.4023113
3zsx_247     -11.334415
3zsx_253     -10.231869
3zsx_254     -11.472853
3zsx_26      -8.4363165
3zsx_262     -11.733779
3zsx_274     -11.863158
3zsx_282     -10.931744
3zsx_293     -11.866125
3zsx_3       -8.1299248
3zsx_318     -7.2916279
3zsx_32      -8.2994175
3zsx_326     -7.8346238
3zsx_329     -11.327736
3zsx_337     -9.6101093
3zsx_345     -10.438268
3zsx_359     -7.6535754
3zsx_374     -8.3075628
3zsx_379     -10.020295
3zsx_395     -8.8710451
3zsx_4       -9.5091581
3zsx_40      -6.9386292
3zsx_408     -3.6226647
3zsx_419     -1.9941016
3zsx_436     -6.7328725
3zsx_456     -4.4977236
3zsx_46      -9.1007147
3zsx_487     -4.3770084
3zsx_495     -8.846632
3zsx_51      -8.3842831
3zsx_52      -8.0318413
3zsx_524     -9.1766949
3zsx_537     -9.3018732
3zsx_545     -5.0008841
3zsx_556     -6.8510556
3zsx_568     -5.7254057
3zsx_569     -6.0727921
3zsx_576     -7.8616486
3zsx_582     -6.8101296
3zsx_585     -7.7212558
3zsx_586     -5.0319214
3zsx_599     -7.3356671
3zsx_608     -9.4792938
3zsx_628     -7.8372426
3zsx_636     -8.1099949
3zsx_637     -8.0444841
3zsx_667     -7.9630251
3zsx_674     -6.9618049
3zsx_677     -7.5516286
3zsx_684     -8.3789682
3zsx_713     -11.958986
3zsx_714     -11.756029
3zsx_74      -7.829854
3zsx_741     -11.822748
3zsx_749     -11.631506
3zsx_75      -7.7139153
3zsx_759     -11.139647
3zsx_76      -8.7839041
3zsx_773     -12.979049
3zsx_774     -11.155532
3zsx_776     -11.182788
3zsx_780     -10.186194
3zsx_79      -8.7119246
3zsx_791     -9.0804644
3zsx_80      -7.9999294
3zsx_859     -11.793904
3zsx_90      -7.737565
3zsx_908     -13.382808
3zsx_91      -7.9582291
3zsx_933     -12.297492
3zsx_955     -12.663939
3zsx_961     -12.344803
3zsx_965     -12.513023
3zsx_978     -12.091178
3zsx_ligand  -12.824882
