#code        score   
1h22_1       108.16  
1h22_12      111.23  
1h22_140     124.45  
1h22_156     143.32  
1h22_186     112.47  
1h22_187     129.34  
1h22_197     127.18  
1h22_212     123.52  
1h22_225     67.09   
1h22_231     123     
1h22_238     116.52  
1h22_241     124.17  
1h22_261     93.83   
1h22_267     121.02  
1h22_276     117.26  
1h22_288     126.37  
1h22_291     94.09   
1h22_292     91.18   
1h22_300     116.85  
1h22_311     121.92  
1h22_313     128.01  
1h22_319     116.08  
1h22_346     147.84  
1h22_354     139.95  
1h22_363     145.17  
1h22_384     137.63  
1h22_393     125.02  
1h22_4       128.86  
1h22_403     63.48   
1h22_423     -50.23  
1h22_442     38.12   
1h22_448     3.25    
1h22_464     1.88    
1h22_471     -58.29  
1h22_477     0.82    
1h22_494     -34.24  
1h22_506     44.22   
1h22_512     37.88   
1h22_527     -28.6   
1h22_535     50.82   
1h22_540     68.31   
1h22_543     33.16   
1h22_565     -36.91  
1h22_569     21.28   
1h22_573     19.8    
1h22_590     -0.3    
1h22_595     -12.66  
1h22_596     -1.43   
1h22_606     39.66   
1h22_651     -14.39  
1h22_653     31.32   
1h22_679     -31.32  
1h22_685     44.3    
1h22_692     23.37   
1h22_716     118.17  
1h22_722     127.46  
1h22_738     123.07  
1h22_75      107.68  
1h22_772     95.87   
1h22_774     99.48   
1h22_777     89.06   
1h22_783     89.36   
1h22_786     102.43  
1h22_788     61.54   
1h22_812     113.67  
1h22_828     124.35  
1h22_852     134.31  
1h22_864     95.98   
1h22_89      118.26  
1h22_918     121.87  
1h22_95      128.74  
1h22_957     136.81  
1h22_ligand  148.73  
