#code        score   
1pxn_167     100.62  
1pxn_197     96.26   
1pxn_211     73.53   
1pxn_225     96.87   
1pxn_228     64.5    
1pxn_236     92.02   
1pxn_240     94.12   
1pxn_246     98.78   
1pxn_256     78.95   
1pxn_257     93.83   
1pxn_266     96.66   
1pxn_269     69.26   
1pxn_270     98.45   
1pxn_272     72.7    
1pxn_285     95.68   
1pxn_288     94.85   
1pxn_308     -264.32 
1pxn_402     50.65   
1pxn_409     57.26   
1pxn_414     49.24   
1pxn_416     52.62   
1pxn_422     32.39   
1pxn_428     47.05   
1pxn_437     57.09   
1pxn_441     46.73   
1pxn_445     20.35   
1pxn_458     26.47   
1pxn_467     40.48   
1pxn_468     62.33   
1pxn_471     39.53   
1pxn_472     28.98   
1pxn_477     33.9    
1pxn_483     31.35   
1pxn_488     44.6    
1pxn_489     53.12   
1pxn_490     38.63   
1pxn_500     42.62   
1pxn_504     64.26   
1pxn_507     40.55   
1pxn_509     48.85   
1pxn_513     41.48   
1pxn_514     42.48   
1pxn_518     50.95   
1pxn_523     48.18   
1pxn_532     34.36   
1pxn_534     57.22   
1pxn_536     17.77   
1pxn_539     23.97   
1pxn_545     40.64   
1pxn_546     35.74   
1pxn_550     65.35   
1pxn_557     36.63   
1pxn_558     39.63   
1pxn_560     15.52   
1pxn_565     7.37    
1pxn_566     47.12   
1pxn_572     25.63   
1pxn_578     60.53   
1pxn_589     29.96   
1pxn_593     44.92   
1pxn_594     3.32    
1pxn_599     52.07   
1pxn_600     63.2    
1pxn_608     34.13   
1pxn_609     55.98   
1pxn_626     16.56   
1pxn_632     31.12   
1pxn_638     30.71   
1pxn_645     34.08   
1pxn_646     20.55   
1pxn_647     37.7    
1pxn_649     42.06   
1pxn_652     2.52    
1pxn_653     34.98   
1pxn_662     50.68   
1pxn_665     12.34   
1pxn_666     48.05   
1pxn_668     55.37   
1pxn_671     51.05   
1pxn_672     62.5    
1pxn_678     23.53   
1pxn_682     70.38   
1pxn_687     42.89   
1pxn_690     30.42   
1pxn_696     31.99   
1pxn_813     91.48   
1pxn_82      78.36   
1pxn_830     85.7    
1pxn_86      102.34  
1pxn_945     95.05   
1pxn_96      94.09   
1pxn_ligand  100.62  
