#code        score   
2fxs_120     49.17   
2fxs_142     48.96   
2fxs_153     59.73   
2fxs_163     40.77   
2fxs_241     54.38   
2fxs_251     66.48   
2fxs_266     86.71   
2fxs_336     84.66   
2fxs_345     84.4    
2fxs_397     77.82   
2fxs_41      73.77   
2fxs_453     -25.63  
2fxs_49      80.5    
2fxs_491     -64.47  
2fxs_507     31.52   
2fxs_521     33.99   
2fxs_552     35.54   
2fxs_559     27.51   
2fxs_564     36.16   
2fxs_576     25.86   
2fxs_584     53.18   
2fxs_597     16.69   
2fxs_608     58.27   
2fxs_632     23.43   
2fxs_636     9.97    
2fxs_643     47.38   
2fxs_67      75.82   
2fxs_678     -2.39   
2fxs_693     29.88   
2fxs_697     51.87   
2fxs_701     61.65   
2fxs_704     57.87   
2fxs_706     54.47   
2fxs_730     64.43   
2fxs_745     72.39   
2fxs_747     70.44   
2fxs_750     66.8    
2fxs_751     52.59   
2fxs_753     53.72   
2fxs_754     45.23   
2fxs_760     76.97   
2fxs_763     67.39   
2fxs_764     58.26   
2fxs_769     70.08   
2fxs_770     67.33   
2fxs_774     47.68   
2fxs_775     66.08   
2fxs_777     63.29   
2fxs_779     54.93   
2fxs_789     69.39   
2fxs_815     46.81   
2fxs_827     59.27   
2fxs_861     64.62   
2fxs_864     54.4    
2fxs_869     78.08   
2fxs_876     67.73   
2fxs_879     56.82   
2fxs_889     56.29   
2fxs_896     64.15   
2fxs_905     69.27   
2fxs_910     49.5    
2fxs_921     49.16   
2fxs_927     57.07   
2fxs_939     52.7    
2fxs_941     59.59   
2fxs_953     57.04   
2fxs_ligand  73.64   
