#code        score   
2wvt_217     72.01   
2wvt_266     67.09   
2wvt_404     18.64   
2wvt_415     40.59   
2wvt_442     49.32   
2wvt_456     37.14   
2wvt_464     12.68   
2wvt_474     22.08   
2wvt_478     25.55   
2wvt_492     33.03   
2wvt_510     35.1    
2wvt_518     58.92   
2wvt_526     36.11   
2wvt_529     32.53   
2wvt_546     20.37   
2wvt_548     49.96   
2wvt_552     39.58   
2wvt_565     21.85   
2wvt_574     16.61   
2wvt_579     -6.69   
2wvt_581     12.73   
2wvt_593     10.04   
2wvt_615     -5.71   
2wvt_630     6.6     
2wvt_675     18.77   
2wvt_678     9.25    
2wvt_720     64.22   
2wvt_731     45.68   
2wvt_736     63.4    
2wvt_743     30.37   
2wvt_758     41.74   
2wvt_762     55.68   
2wvt_764     50.59   
2wvt_767     48.06   
2wvt_770     43.94   
2wvt_775     40.7    
2wvt_777     38.66   
2wvt_780     45.35   
2wvt_843     48.48   
2wvt_848     46.92   
2wvt_859     65.72   
2wvt_870     45.35   
2wvt_875     36.76   
2wvt_884     43.29   
2wvt_898     33.78   
2wvt_920     77.12   
2wvt_922     74.77   
2wvt_961     45.67   
2wvt_962     33.68   
2wvt_982     36.26   
2wvt_ligand  74.01   
