#code        score   
3g0w_185     109.98  
3g0w_195     110.16  
3g0w_196     116.8   
3g0w_241     112.56  
3g0w_27      112.58  
3g0w_281     116.09  
3g0w_401     66.88   
3g0w_409     70.21   
3g0w_410     54.24   
3g0w_413     77      
3g0w_417     -4.26   
3g0w_441     68.2    
3g0w_458     46.01   
3g0w_475     21.65   
3g0w_488     -10.47  
3g0w_493     9.36    
3g0w_494     26.95   
3g0w_499     23.85   
3g0w_516     40.07   
3g0w_523     41.47   
3g0w_545     -9.84   
3g0w_552     52.16   
3g0w_562     56.77   
3g0w_573     59.11   
3g0w_574     11.67   
3g0w_609     45.07   
3g0w_613     50.91   
3g0w_639     35      
3g0w_658     54.1    
3g0w_690     32.19   
3g0w_696     39.11   
3g0w_697     21.83   
3g0w_703     58.54   
3g0w_753     42.35   
3g0w_754     25.7    
3g0w_755     25.67   
3g0w_756     -53.78  
3g0w_757     7.78    
3g0w_758     10.31   
3g0w_759     12.52   
3g0w_761     -15.68  
3g0w_764     8.91    
3g0w_765     -4.91   
3g0w_766     4.22    
3g0w_767     2.73    
3g0w_768     4.19    
3g0w_769     -64.97  
3g0w_771     -61.16  
3g0w_772     1.87    
3g0w_773     2.1     
3g0w_774     9.1     
3g0w_775     -28.92  
3g0w_778     -23.56  
3g0w_779     -5.4    
3g0w_780     -53.57  
3g0w_782     -82.44  
3g0w_783     -30.98  
3g0w_786     -103.93 
3g0w_787     -96.04  
3g0w_788     -74.35  
3g0w_789     -46.74  
3g0w_790     -94.88  
3g0w_791     107.13  
3g0w_800     99.86   
3g0w_832     74.95   
3g0w_874     63.03   
3g0w_889     65.6    
3g0w_ligand  116.65  
