#code        score   
3udh_118     42.45   
3udh_121     61.23   
3udh_130     56.4    
3udh_234     56.71   
3udh_30      57.89   
3udh_318     42.99   
3udh_347     64.68   
3udh_359     65.61   
3udh_392     56.28   
3udh_405     42.57   
3udh_411     37.3    
3udh_413     45.95   
3udh_418     44.13   
3udh_420     47.49   
3udh_444     30.41   
3udh_453     39.48   
3udh_459     41.59   
3udh_460     36.76   
3udh_462     35.05   
3udh_464     29.85   
3udh_477     25.78   
3udh_481     42.01   
3udh_491     20.85   
3udh_499     33.55   
3udh_50      63.02   
3udh_500     5.92    
3udh_519     40.91   
3udh_523     24.93   
3udh_527     32.14   
3udh_528     23.45   
3udh_543     35.55   
3udh_549     29.82   
3udh_566     26.4    
3udh_570     36.93   
3udh_579     30.89   
3udh_581     34.14   
3udh_588     40.97   
3udh_596     31.25   
3udh_634     21.55   
3udh_638     19.97   
3udh_651     17.86   
3udh_670     33.21   
3udh_672     4.78    
3udh_679     14.81   
3udh_685     31.06   
3udh_686     35.95   
3udh_694     37.36   
3udh_712     21.21   
3udh_72      61.07   
3udh_725     31.02   
3udh_735     25.57   
3udh_738     28.2    
3udh_743     20.62   
3udh_746     34.56   
3udh_752     29.77   
3udh_759     34.28   
3udh_768     26.19   
3udh_780     18.81   
3udh_783     43.2    
3udh_785     11.95   
3udh_797     14.06   
3udh_799     14.16   
3udh_800     1.94    
3udh_823     33.24   
3udh_825     28.03   
3udh_829     38.21   
3udh_832     39.26   
3udh_834     30.37   
3udh_835     22.29   
3udh_837     34.39   
3udh_843     47.76   
3udh_861     42.76   
3udh_885     46.56   
3udh_895     11.75   
3udh_899     11.97   
3udh_926     33.28   
3udh_930     31.54   
3udh_957     40.52   
3udh_997     32.86   
3udh_ligand  64.26   
