#code        score   
3ueu_1000    32.78   
3ueu_120     47.41   
3ueu_147     47.82   
3ueu_173     47.06   
3ueu_202     45.6    
3ueu_213     55.22   
3ueu_22      49.11   
3ueu_224     44.09   
3ueu_230     38.91   
3ueu_235     52.89   
3ueu_24      51.24   
3ueu_241     41.36   
3ueu_244     46.87   
3ueu_247     39.65   
3ueu_268     51.89   
3ueu_271     57.21   
3ueu_280     36.93   
3ueu_286     48.6    
3ueu_287     50.29   
3ueu_291     40.26   
3ueu_31      50.38   
3ueu_315     53.01   
3ueu_328     53.9    
3ueu_36      49.43   
3ueu_37      48.1    
3ueu_392     52.28   
3ueu_425     32.17   
3ueu_434     31.64   
3ueu_435     26.65   
3ueu_437     38.96   
3ueu_438     35.36   
3ueu_441     43.31   
3ueu_447     23.68   
3ueu_450     29.9    
3ueu_451     41.9    
3ueu_454     24.35   
3ueu_463     36.07   
3ueu_465     45.61   
3ueu_487     32.26   
3ueu_489     35.55   
3ueu_490     14.39   
3ueu_497     29.11   
3ueu_514     35.59   
3ueu_52      48.28   
3ueu_527     40.67   
3ueu_535     30.53   
3ueu_549     28.43   
3ueu_550     24.68   
3ueu_551     41.22   
3ueu_564     34.61   
3ueu_565     33.38   
3ueu_570     40.28   
3ueu_574     42.29   
3ueu_577     27.43   
3ueu_578     37.32   
3ueu_58      48.03   
3ueu_587     20.55   
3ueu_592     38.83   
3ueu_604     28.75   
3ueu_619     43.62   
3ueu_620     20.23   
3ueu_621     32.88   
3ueu_652     18.74   
3ueu_655     28.71   
3ueu_666     30.97   
3ueu_667     30.32   
3ueu_67      47.21   
3ueu_670     33.35   
3ueu_678     32.99   
3ueu_694     19.29   
3ueu_8       49.69   
3ueu_830     52.75   
3ueu_836     38.01   
3ueu_84      51.13   
3ueu_91      46.94   
3ueu_937     25.3    
3ueu_962     53.03   
3ueu_972     48.54   
3ueu_996     48.19   
3ueu_ligand  45.44   
