#code        score   
4de1_105     69.04   
4de1_110     66.3    
4de1_127     50.67   
4de1_14      61.04   
4de1_142     57.59   
4de1_150     79.86   
4de1_176     71.08   
4de1_190     91.81   
4de1_191     54.13   
4de1_195     99.23   
4de1_196     48.89   
4de1_199     56.18   
4de1_203     68.27   
4de1_215     85.21   
4de1_237     86.21   
4de1_25      68.34   
4de1_275     54.15   
4de1_277     90.64   
4de1_289     77.63   
4de1_292     88.37   
4de1_309     63.18   
4de1_317     76.61   
4de1_340     76.22   
4de1_366     88.32   
4de1_370     74.94   
4de1_405     40.76   
4de1_407     42.85   
4de1_408     61.05   
4de1_412     32.18   
4de1_424     83.26   
4de1_425     29.56   
4de1_426     54.71   
4de1_431     22.99   
4de1_432     51.2    
4de1_433     47.34   
4de1_436     16.11   
4de1_438     63.15   
4de1_440     24.07   
4de1_458     35.11   
4de1_460     -9.13   
4de1_466     -3.55   
4de1_474     24.82   
4de1_482     14.32   
4de1_484     52.99   
4de1_487     41.81   
4de1_491     34.91   
4de1_509     19.79   
4de1_514     63.85   
4de1_519     49.75   
4de1_521     46.11   
4de1_531     20.87   
4de1_538     42.12   
4de1_541     46.2    
4de1_545     34.24   
4de1_550     62.54   
4de1_552     19.71   
4de1_553     47.51   
4de1_558     43.21   
4de1_564     25.08   
4de1_567     43.28   
4de1_575     16.66   
4de1_579     39.15   
4de1_581     68.79   
4de1_582     -24.45  
4de1_586     34.61   
4de1_590     51.35   
4de1_593     18.93   
4de1_596     37.71   
4de1_598     21.81   
4de1_620     46.13   
4de1_633     63.18   
4de1_636     45.5    
4de1_659     50.43   
4de1_661     52.76   
4de1_664     40.2    
4de1_667     47.82   
4de1_674     52.28   
4de1_675     61.43   
4de1_676     31.9    
4de1_682     7.96    
4de1_697     13.51   
4de1_699     63.42   
4de1_711     59.81   
4de1_715     44.25   
4de1_728     42.79   
4de1_733     41.19   
4de1_738     58.52   
4de1_742     43.55   
4de1_744     40.15   
4de1_745     43.94   
4de1_748     40.14   
4de1_749     41.6    
4de1_750     43.99   
4de1_753     41.9    
4de1_755     43.76   
4de1_759     46      
4de1_761     45.81   
4de1_811     41.06   
4de1_84      60.22   
4de1_88      82.8    
4de1_ligand  93.88   
