#code        score   
4owm_109     32.18   
4owm_114     28.96   
4owm_135     56.78   
4owm_148     30.05   
4owm_16      51.15   
4owm_163     43.99   
4owm_215     38.41   
4owm_216     40.05   
4owm_223     41.29   
4owm_228     37.83   
4owm_230     48.72   
4owm_232     42.59   
4owm_243     33.43   
4owm_260     43.83   
4owm_270     43.58   
4owm_272     29.45   
4owm_278     42.19   
4owm_280     36.44   
4owm_287     43.47   
4owm_293     38.03   
4owm_299     27.38   
4owm_305     50.59   
4owm_329     44.39   
4owm_346     41.58   
4owm_362     50.24   
4owm_366     53.16   
4owm_378     50.29   
4owm_389     51.86   
4owm_392     46.19   
4owm_397     45.82   
4owm_407     38.28   
4owm_427     36.25   
4owm_430     34.96   
4owm_437     41.29   
4owm_440     47.34   
4owm_455     17.58   
4owm_461     30.15   
4owm_463     34.2    
4owm_465     29.79   
4owm_475     16.38   
4owm_482     23.99   
4owm_484     19.12   
4owm_493     35.93   
4owm_501     35.5    
4owm_506     35.32   
4owm_509     29.26   
4owm_517     24.07   
4owm_534     48.98   
4owm_542     34.54   
4owm_554     30.26   
4owm_556     13.54   
4owm_561     25.51   
4owm_571     43.11   
4owm_572     39.98   
4owm_574     40.47   
4owm_575     29.64   
4owm_576     24.61   
4owm_579     23.1    
4owm_582     10.84   
4owm_583     20.93   
4owm_584     24.01   
4owm_595     15.25   
4owm_619     39.07   
4owm_626     15.14   
4owm_629     48.2    
4owm_637     42.71   
4owm_639     22.63   
4owm_648     25.22   
4owm_661     22.72   
4owm_663     18.86   
4owm_670     15.34   
4owm_671     29.62   
4owm_674     25.18   
4owm_689     26.69   
4owm_695     37.86   
4owm_742     9.8     
4owm_760     30.35   
4owm_768     4.26    
4owm_774     4.37    
4owm_779     21.34   
4owm_780     14.8    
4owm_849     41.67   
4owm_851     18.74   
4owm_860     23.34   
4owm_872     26.97   
4owm_874     20.96   
4owm_ligand  52.02   
