#code        score   
3mss_101     71.98   
3mss_141     74.09   
3mss_18      75      
3mss_197     76.04   
3mss_214     72.45   
3mss_23      74      
3mss_239     72.09   
3mss_244     68.89   
3mss_264     71.72   
3mss_3       86.12   
3mss_311     77.43   
3mss_386     85.24   
3mss_401     44.4    
3mss_412     32.44   
3mss_424     52.33   
3mss_433     29.25   
3mss_434     30.15   
3mss_443     30.14   
3mss_445     25.47   
3mss_448     42.45   
3mss_451     61.24   
3mss_458     34      
3mss_459     30.02   
3mss_465     35.29   
3mss_466     41.63   
3mss_467     31.05   
3mss_475     44.9    
3mss_476     51.43   
3mss_487     42.93   
3mss_499     36.68   
3mss_507     42.83   
3mss_518     48.43   
3mss_522     45.72   
3mss_534     49.33   
3mss_546     51.44   
3mss_548     54.48   
3mss_555     45.97   
3mss_561     55.46   
3mss_568     45.71   
3mss_571     43.19   
3mss_574     39.32   
3mss_576     23.88   
3mss_591     44.5    
3mss_621     54.36   
3mss_628     54.73   
3mss_64      70.45   
3mss_653     36.04   
3mss_665     37.1    
3mss_668     23.29   
3mss_669     42.4    
3mss_678     14.28   
3mss_680     43.75   
3mss_681     35.98   
3mss_682     46.42   
3mss_684     47.28   
3mss_689     35.01   
3mss_697     32.2    
3mss_730     74.15   
3mss_737     51.89   
3mss_74      72.32   
3mss_747     66.02   
3mss_757     61.88   
3mss_758     54.22   
3mss_765     56.55   
3mss_79      76.95   
3mss_792     68.6    
3mss_800     82.86   
3mss_812     82.57   
3mss_82      84.53   
3mss_827     54.96   
3mss_836     69.42   
3mss_840     67.02   
3mss_856     74.87   
3mss_869     59.12   
3mss_873     55.9    
3mss_9       76.61   
3mss_94      67.78   
3mss_946     80.84   
3mss_948     73.94   
3mss_952     77.79   
3mss_96      71.06   
3mss_971     75.28   
3mss_974     79.89   
3mss_ligand  60.6    
