#code        score   
3oe5_104     133.19  
3oe5_106     77.99   
3oe5_11      73.61   
3oe5_121     103.73  
3oe5_124     103.44  
3oe5_132     115.86  
3oe5_134     101.99  
3oe5_145     80.01   
3oe5_148     87.63   
3oe5_15      116.73  
3oe5_156     71.1    
3oe5_161     66.17   
3oe5_162     104     
3oe5_164     70.94   
3oe5_197     53.51   
3oe5_198     101.87  
3oe5_199     69.37   
3oe5_2       71.07   
3oe5_203     125.3   
3oe5_214     96.1    
3oe5_217     102.52  
3oe5_227     115.38  
3oe5_236     143.73  
3oe5_243     84.66   
3oe5_245     68.68   
3oe5_248     94.25   
3oe5_250     126.03  
3oe5_26      66.88   
3oe5_261     126.6   
3oe5_263     29.09   
3oe5_266     146.35  
3oe5_274     72.58   
3oe5_286     95.59   
3oe5_289     111.29  
3oe5_29      71.67   
3oe5_290     122     
3oe5_30      143.08  
3oe5_301     118.22  
3oe5_325     67.64   
3oe5_329     132.19  
3oe5_332     79.02   
3oe5_342     79.29   
3oe5_352     140.77  
3oe5_356     141.98  
3oe5_370     102.85  
3oe5_380     102.2   
3oe5_401     36.37   
3oe5_402     6.76    
3oe5_403     42.69   
3oe5_412     25.46   
3oe5_421     -18.13  
3oe5_422     39.99   
3oe5_423     -13.16  
3oe5_430     4.38    
3oe5_437     9.85    
3oe5_439     18.97   
3oe5_441     -30.97  
3oe5_442     18.05   
3oe5_446     3.73    
3oe5_45      94.16   
3oe5_455     -51.18  
3oe5_462     7.87    
3oe5_467     -43.12  
3oe5_472     37.4    
3oe5_477     -44.44  
3oe5_480     29.19   
3oe5_483     17.68   
3oe5_484     8.65    
3oe5_493     0.84    
3oe5_497     66.91   
3oe5_499     3.75    
3oe5_529     41.57   
3oe5_546     59.85   
3oe5_552     24.2    
3oe5_561     31.57   
3oe5_563     0.21    
3oe5_57      64.2    
3oe5_581     -1.53   
3oe5_586     41.91   
3oe5_599     14.41   
3oe5_620     -3.43   
3oe5_623     22.61   
3oe5_624     10.75   
3oe5_669     -12.97  
3oe5_673     -4.76   
3oe5_676     -9.76   
3oe5_680     4.06    
3oe5_684     -18.07  
3oe5_697     28.89   
3oe5_700     -5.75   
3oe5_758     102.43  
3oe5_76      99.89   
3oe5_762     80.9    
3oe5_77      88.58   
3oe5_788     81.06   
3oe5_857     112.09  
3oe5_893     97.63   
3oe5_94      102.67  
3oe5_955     113.3   
3oe5_97      84.99   
3oe5_ligand  154.99  
