#code        score   
4eor_121     109.46  
4eor_145     70.09   
4eor_155     77.19   
4eor_257     108.17  
4eor_267     74.05   
4eor_309     80.71   
4eor_31      93.96   
4eor_346     96.53   
4eor_361     113.04  
4eor_403     11.77   
4eor_408     73.98   
4eor_414     58.23   
4eor_424     24.71   
4eor_425     25.7    
4eor_427     50.37   
4eor_430     31.77   
4eor_431     47.97   
4eor_446     37.51   
4eor_448     36.59   
4eor_450     28.96   
4eor_455     43.3    
4eor_465     35.13   
4eor_474     59.45   
4eor_479     24.03   
4eor_480     52.05   
4eor_483     22.36   
4eor_485     37.62   
4eor_494     30.71   
4eor_501     83.91   
4eor_506     68.91   
4eor_511     38.9    
4eor_513     36.77   
4eor_519     38.01   
4eor_523     42.42   
4eor_524     60.02   
4eor_530     40.54   
4eor_536     41.45   
4eor_539     57.03   
4eor_541     18.29   
4eor_544     51.73   
4eor_548     60.6    
4eor_552     59.26   
4eor_557     58.64   
4eor_558     68.64   
4eor_559     43.51   
4eor_562     38.73   
4eor_565     65      
4eor_568     50.32   
4eor_577     62.21   
4eor_584     50.84   
4eor_585     49.3    
4eor_588     56.1    
4eor_592     56.77   
4eor_595     54.87   
4eor_604     73.09   
4eor_612     68.92   
4eor_620     37.32   
4eor_643     28.4    
4eor_649     63.66   
4eor_650     61.18   
4eor_652     32.37   
4eor_659     51.81   
4eor_666     53.42   
4eor_672     74.08   
4eor_674     35.56   
4eor_677     55.16   
4eor_682     14.89   
4eor_687     59.91   
4eor_69      80.55   
4eor_690     28.49   
4eor_697     14.62   
4eor_701     114.36  
4eor_712     100.55  
4eor_718     103.03  
4eor_72      72.9    
4eor_736     93.95   
4eor_744     91.29   
4eor_745     81.22   
4eor_746     69.62   
4eor_749     49.54   
4eor_757     61.26   
4eor_760     40.4    
4eor_763     49.55   
4eor_764     58.96   
4eor_769     63.42   
4eor_773     -44.07  
4eor_790     100.58  
4eor_850     102.89  
4eor_860     97.95   
4eor_911     97.7    
4eor_ligand  112.69  
