#code        score   
4f2w_101     68.24   
4f2w_105     121.22  
4f2w_121     68.9    
4f2w_122     70.97   
4f2w_124     83.66   
4f2w_136     73.75   
4f2w_142     111.18  
4f2w_144     74.02   
4f2w_147     70.49   
4f2w_151     70.99   
4f2w_154     68.04   
4f2w_155     78.27   
4f2w_163     62.86   
4f2w_187     69.61   
4f2w_198     72.44   
4f2w_264     115.54  
4f2w_360     99      
4f2w_407     6.27    
4f2w_420     33.02   
4f2w_428     27.96   
4f2w_431     41.81   
4f2w_435     36.28   
4f2w_436     15.87   
4f2w_437     35.27   
4f2w_439     82.13   
4f2w_442     71.96   
4f2w_45      82.59   
4f2w_454     67.83   
4f2w_465     37.76   
4f2w_467     29.35   
4f2w_468     66.98   
4f2w_473     43.68   
4f2w_474     43.11   
4f2w_476     49.48   
4f2w_480     31.52   
4f2w_482     35      
4f2w_484     60.13   
4f2w_486     41.56   
4f2w_519     62.41   
4f2w_521     65.17   
4f2w_523     69.09   
4f2w_542     42.22   
4f2w_543     58.85   
4f2w_552     57.26   
4f2w_559     24.12   
4f2w_562     52.02   
4f2w_567     48.67   
4f2w_571     26.5    
4f2w_581     34.84   
4f2w_582     47.68   
4f2w_585     46.82   
4f2w_586     44.61   
4f2w_589     41.16   
4f2w_597     48.67   
4f2w_608     55.9    
4f2w_620     44.87   
4f2w_631     42.84   
4f2w_638     36.03   
4f2w_657     57.41   
4f2w_658     50.9    
4f2w_66      61.56   
4f2w_664     44.69   
4f2w_665     50.32   
4f2w_671     49.97   
4f2w_687     61.81   
4f2w_725     108.56  
4f2w_749     102.25  
4f2w_770     97.06   
4f2w_796     104.44  
4f2w_825     113.94  
4f2w_901     105.95  
4f2w_907     119.05  
4f2w_917     112.85  
4f2w_922     109.94  
4f2w_979     109.26  
4f2w_ligand  122.97  
