#code        score   
4qd6_103     65.48   
4qd6_160     86.83   
4qd6_167     60.96   
4qd6_187     69.17   
4qd6_207     66.86   
4qd6_219     69.69   
4qd6_230     70.92   
4qd6_265     88.08   
4qd6_268     58.91   
4qd6_276     59.45   
4qd6_290     68.93   
4qd6_294     44.41   
4qd6_298     47.61   
4qd6_302     98.49   
4qd6_312     73.26   
4qd6_339     103.77  
4qd6_346     76.56   
4qd6_347     87.88   
4qd6_387     80.65   
4qd6_390     74.73   
4qd6_397     78.27   
4qd6_408     5.17    
4qd6_414     -14.84  
4qd6_428     5.14    
4qd6_429     39.73   
4qd6_44      74.59   
4qd6_448     29.93   
4qd6_449     -35.04  
4qd6_460     -24.24  
4qd6_465     -1.42   
4qd6_471     -22.86  
4qd6_473     0.43    
4qd6_475     38.76   
4qd6_490     31.82   
4qd6_501     60.58   
4qd6_507     52.49   
4qd6_511     37.3    
4qd6_516     14.01   
4qd6_518     22      
4qd6_519     33.28   
4qd6_520     33.7    
4qd6_528     31.36   
4qd6_529     32.7    
4qd6_540     29.22   
4qd6_547     0.95    
4qd6_568     21.89   
4qd6_573     24.95   
4qd6_574     13.03   
4qd6_578     38.35   
4qd6_58      99.58   
4qd6_588     56.73   
4qd6_593     3.59    
4qd6_6       63.24   
4qd6_612     44.84   
4qd6_614     25.64   
4qd6_62      67.56   
4qd6_621     28.95   
4qd6_623     16.49   
4qd6_639     62.41   
4qd6_642     35.95   
4qd6_653     49.03   
4qd6_671     33.83   
4qd6_673     1.99    
4qd6_674     55.39   
4qd6_675     30.93   
4qd6_678     19.51   
4qd6_681     33.14   
4qd6_683     46.95   
4qd6_687     19.4    
4qd6_700     35.82   
4qd6_707     71.1    
4qd6_708     69.43   
4qd6_709     74.09   
4qd6_714     75.99   
4qd6_737     73.37   
4qd6_790     72.49   
4qd6_82      73.33   
4qd6_825     79.44   
4qd6_835     72.3    
4qd6_84      82.02   
4qd6_847     72.21   
4qd6_85      91.44   
4qd6_925     74.79   
4qd6_934     75.94   
4qd6_939     84.72   
4qd6_942     87.26   
4qd6_948     72.2    
4qd6_954     88.71   
4qd6_958     83.4    
4qd6_960     80.22   
4qd6_971     78.82   
4qd6_975     77.16   
4qd6_978     75.83   
4qd6_ligand  71.33   
