#code        score   
1p1n_116     50.22   
1p1n_216     40.14   
1p1n_333     48.48   
1p1n_425     28.87   
1p1n_433     -12.99  
1p1n_462     20.6    
1p1n_465     35.96   
1p1n_482     37.1    
1p1n_489     27.72   
1p1n_493     44.66   
1p1n_500     15.09   
1p1n_530     21.69   
1p1n_548     18.96   
1p1n_550     29.5    
1p1n_562     19.22   
1p1n_569     29.56   
1p1n_574     16.68   
1p1n_586     17.22   
1p1n_606     14.17   
1p1n_646     19.76   
1p1n_650     12.33   
1p1n_660     9.45    
1p1n_668     26.23   
1p1n_675     5.58    
1p1n_685     21.2    
1p1n_687     41.27   
1p1n_699     29      
1p1n_708     40.52   
1p1n_712     44.28   
1p1n_73      53.41   
1p1n_733     19.7    
1p1n_757     34.92   
1p1n_765     28.22   
1p1n_78      53.75   
1p1n_780     26.76   
1p1n_785     29.18   
1p1n_825     47.4    
1p1n_883     43.05   
1p1n_892     13.2    
1p1n_9       52.98   
1p1n_917     44.87   
1p1n_928     45.5    
1p1n_971     42.39   
1p1n_ligand  50.79   
