#code        score   
1vso_115     74.95   
1vso_174     74.79   
1vso_198     75.58   
1vso_214     69.09   
1vso_219     68.68   
1vso_243     75.64   
1vso_254     71.87   
1vso_273     77.83   
1vso_301     73.65   
1vso_310     76.93   
1vso_358     77.25   
1vso_363     77.32   
1vso_378     79.23   
1vso_379     47.44   
1vso_392     75.6    
1vso_401     58.26   
1vso_407     45.78   
1vso_424     54.11   
1vso_433     37.97   
1vso_436     48.83   
1vso_439     49.36   
1vso_444     52.68   
1vso_445     50.88   
1vso_449     52.51   
1vso_461     47.09   
1vso_470     60.1    
1vso_487     43.31   
1vso_493     20.23   
1vso_494     35.69   
1vso_496     29.86   
1vso_497     55.23   
1vso_501     51.03   
1vso_516     12.84   
1vso_522     27.2    
1vso_545     40.37   
1vso_547     27.29   
1vso_549     46.88   
1vso_557     41.25   
1vso_558     45.85   
1vso_571     31.43   
1vso_573     37.88   
1vso_575     59.53   
1vso_577     40.99   
1vso_579     54.45   
1vso_580     9.15    
1vso_581     62.22   
1vso_585     43.12   
1vso_596     53.55   
1vso_597     38.59   
1vso_609     56.9    
1vso_617     50      
1vso_618     36.82   
1vso_624     40.97   
1vso_630     15.87   
1vso_631     31.21   
1vso_636     39.02   
1vso_642     32.46   
1vso_644     29.9    
1vso_677     42.95   
1vso_685     32.7    
1vso_732     48.8    
1vso_74      75.2    
1vso_753     8.68    
1vso_838     68.31   
1vso_840     33.32   
1vso_850     68.52   
1vso_910     75.01   
1vso_954     74.22   
1vso_957     79.5    
1vso_963     75.68   
1vso_978     71.63   
1vso_ligand  77.69   
