#code        score   
2zcq_1       103.21  
2zcq_10      91.88   
2zcq_12      89.99   
2zcq_168     116.4   
2zcq_213     81.41   
2zcq_227     90.15   
2zcq_254     91.01   
2zcq_259     98.83   
2zcq_263     98.06   
2zcq_27      101.2   
2zcq_274     61.34   
2zcq_281     90.42   
2zcq_284     109.77  
2zcq_311     103.86  
2zcq_36      96.97   
2zcq_369     102.19  
2zcq_423     25.12   
2zcq_427     34.11   
2zcq_432     11.52   
2zcq_440     75.28   
2zcq_444     27.81   
2zcq_447     76.49   
2zcq_451     28.62   
2zcq_454     87.1    
2zcq_457     20.69   
2zcq_458     47.22   
2zcq_460     15.42   
2zcq_461     46.62   
2zcq_462     43.35   
2zcq_463     66.11   
2zcq_468     38.37   
2zcq_470     30.55   
2zcq_471     69.88   
2zcq_473     55.47   
2zcq_474     69.6    
2zcq_475     52.37   
2zcq_48      91.16   
2zcq_482     43.53   
2zcq_486     34.14   
2zcq_498     59.58   
2zcq_499     48.8    
2zcq_520     88.06   
2zcq_525     68.45   
2zcq_528     65.55   
2zcq_529     79.91   
2zcq_542     75.33   
2zcq_554     49.38   
2zcq_558     49.08   
2zcq_563     69.96   
2zcq_578     55.66   
2zcq_580     20.03   
2zcq_581     79.01   
2zcq_583     65.46   
2zcq_584     65.73   
2zcq_587     48.68   
2zcq_593     84.28   
2zcq_598     45.51   
2zcq_606     77.59   
2zcq_612     100.57  
2zcq_620     52.54   
2zcq_628     92.79   
2zcq_636     44.77   
2zcq_665     69.68   
2zcq_669     73.73   
2zcq_671     43.64   
2zcq_680     82.9    
2zcq_682     51.3    
2zcq_687     97.14   
2zcq_689     93.21   
2zcq_707     67.94   
2zcq_716     113.14  
2zcq_726     71.8    
2zcq_743     64.06   
2zcq_745     81      
2zcq_747     84.08   
2zcq_756     110.06  
2zcq_76      91.11   
2zcq_762     81.73   
2zcq_769     82.28   
2zcq_784     53.51   
2zcq_785     22.15   
2zcq_786     43.17   
2zcq_787     61.77   
2zcq_860     7.27    
2zcq_88      95.99   
2zcq_888     89.32   
2zcq_91      90.04   
2zcq_927     69.44   
2zcq_942     83.25   
2zcq_960     106.08  
2zcq_961     107.92  
2zcq_969     111.25  
2zcq_971     93.99   
2zcq_98      77.13   
2zcq_ligand  103.5   
