#code        score   
3gbb_213     78.31   
3gbb_278     69.01   
3gbb_304     81.05   
3gbb_317     88.81   
3gbb_405     59.07   
3gbb_407     74.59   
3gbb_418     53.57   
3gbb_421     51.99   
3gbb_427     56.37   
3gbb_445     50.39   
3gbb_449     67.6    
3gbb_458     7.09    
3gbb_460     24.05   
3gbb_468     31.85   
3gbb_473     38.33   
3gbb_482     24.21   
3gbb_483     7.24    
3gbb_489     7.54    
3gbb_498     35.69   
3gbb_503     44.58   
3gbb_509     24.25   
3gbb_510     35.34   
3gbb_512     19.14   
3gbb_523     49.53   
3gbb_559     30.09   
3gbb_564     40.51   
3gbb_596     37.13   
3gbb_616     37.53   
3gbb_619     48.39   
3gbb_621     53.82   
3gbb_625     41.16   
3gbb_627     -7.12   
3gbb_646     6.81    
3gbb_648     30.48   
3gbb_650     45.86   
3gbb_655     27.26   
3gbb_666     31.86   
3gbb_673     51.79   
3gbb_678     18.65   
3gbb_683     13.34   
3gbb_693     22.33   
3gbb_697     51.58   
3gbb_715     49.26   
3gbb_717     51.16   
3gbb_728     41.82   
3gbb_781     19.78   
3gbb_783     42.86   
3gbb_796     12.46   
3gbb_814     70.42   
3gbb_845     40.32   
3gbb_893     39.58   
3gbb_ligand  85.22   
