#code        score   
4agq_114     -39.83  
4agq_121     -26.12  
4agq_151     -47.89  
4agq_158     -43.89  
4agq_204     -51.17  
4agq_205     -39.2   
4agq_217     -31.49  
4agq_219     -58.27  
4agq_221     -47.51  
4agq_228     -44.74  
4agq_234     -46.38  
4agq_236     -30.27  
4agq_25      -14.02  
4agq_254     -57.09  
4agq_268     -61.5   
4agq_27      -40.76  
4agq_272     -28.14  
4agq_326     -37.06  
4agq_339     -32.94  
4agq_35      -4.45   
4agq_350     -41.65  
4agq_356     -17.48  
4agq_369     -31.7   
4agq_378     -27.55  
4agq_382     -25.86  
4agq_394     -40.45  
4agq_409     -103.2  
4agq_41      -16.77  
4agq_413     -66.13  
4agq_418     -86.01  
4agq_419     -99.02  
4agq_421     -82     
4agq_433     -114.84 
4agq_442     -121.93 
4agq_446     -80.59  
4agq_450     -185.71 
4agq_452     -100.61 
4agq_461     -107.66 
4agq_463     -54.75  
4agq_470     -122.88 
4agq_474     -61.15  
4agq_475     -63.32  
4agq_478     -86.41  
4agq_490     -68.59  
4agq_503     -47.11  
4agq_504     -8.94   
4agq_505     -69.62  
4agq_526     -21.3   
4agq_529     -88.89  
4agq_534     -24.98  
4agq_535     -86.67  
4agq_548     -62.1   
4agq_556     -22.82  
4agq_557     -66.86  
4agq_572     -93.84  
4agq_573     -77.05  
4agq_576     -81.53  
4agq_580     -58.59  
4agq_587     -59.46  
4agq_592     -89.52  
4agq_598     -32.2   
4agq_604     -18.27  
4agq_609     -66.6   
4agq_62      -30.22  
4agq_631     -77.57  
4agq_635     -64.37  
4agq_641     -102.67 
4agq_642     -93.6   
4agq_649     -93.2   
4agq_653     -43.14  
4agq_664     -25.55  
4agq_665     -61.11  
4agq_666     -82.73  
4agq_672     -82.2   
4agq_676     -88.84  
4agq_680     -78.01  
4agq_681     -80.14  
4agq_684     -17.76  
4agq_687     -58.84  
4agq_691     -80.58  
4agq_700     -71.52  
4agq_702     -29.05  
4agq_718     -27.3   
4agq_744     -18.17  
4agq_771     -32.5   
4agq_775     -25.24  
4agq_778     -35.68  
4agq_788     -13.45  
4agq_84      -20.33  
4agq_850     -10.1   
4agq_866     -25.18  
4agq_872     -31     
4agq_894     -45.49  
4agq_999     -47.27  
4agq_ligand  -34.79  
