#code        score   
4pcs_141     101.55  
4pcs_152     108.67  
4pcs_164     106.79  
4pcs_165     110.57  
4pcs_173     111.71  
4pcs_190     113.78  
4pcs_196     108.07  
4pcs_202     111.88  
4pcs_241     84.73   
4pcs_257     110.23  
4pcs_274     89.82   
4pcs_309     105.9   
4pcs_401     89.58   
4pcs_409     82.36   
4pcs_413     77.84   
4pcs_416     85.65   
4pcs_437     36.55   
4pcs_443     57.14   
4pcs_444     63.72   
4pcs_448     97.33   
4pcs_452     74.27   
4pcs_476     85.15   
4pcs_477     40.57   
4pcs_486     69.52   
4pcs_491     51.08   
4pcs_494     80      
4pcs_512     80.2    
4pcs_518     63.51   
4pcs_521     35.63   
4pcs_527     14.56   
4pcs_533     61.58   
4pcs_537     27.26   
4pcs_538     68.31   
4pcs_545     31.47   
4pcs_548     60.28   
4pcs_549     57.56   
4pcs_552     35.76   
4pcs_554     55.98   
4pcs_564     29.89   
4pcs_572     29.99   
4pcs_580     75.24   
4pcs_581     40.19   
4pcs_588     45.12   
4pcs_592     23.02   
4pcs_598     37.75   
4pcs_600     42.65   
4pcs_63      117.47  
4pcs_654     72.84   
4pcs_663     77.94   
4pcs_684     64.89   
4pcs_697     70.92   
4pcs_719     108.33  
4pcs_734     94.15   
4pcs_749     102.86  
4pcs_765     59.42   
4pcs_773     78.02   
4pcs_776     95.57   
4pcs_777     63.99   
4pcs_78      117.12  
4pcs_780     74.6    
4pcs_785     85.33   
4pcs_788     101.27  
4pcs_789     88.63   
4pcs_790     52.11   
4pcs_795     70.42   
4pcs_800     32.27   
4pcs_812     108.85  
4pcs_826     101.43  
4pcs_828     111.95  
4pcs_883     72.93   
4pcs_ligand  111.75  
