#code        score   
4qac_109     159.71  
4qac_114     159.13  
4qac_115     162.52  
4qac_116     156.21  
4qac_136     155.06  
4qac_144     162.16  
4qac_194     162.67  
4qac_232     155.21  
4qac_353     158.09  
4qac_372     153.94  
4qac_406     79.65   
4qac_410     67.01   
4qac_411     113.91  
4qac_419     77.63   
4qac_424     66.99   
4qac_441     99.57   
4qac_444     65.1    
4qac_447     71.22   
4qac_450     71.31   
4qac_456     79.14   
4qac_466     73.45   
4qac_471     61.08   
4qac_476     59.32   
4qac_481     130.4   
4qac_484     60.52   
4qac_486     96.68   
4qac_489     96.37   
4qac_497     94.68   
4qac_499     94.41   
4qac_50      155.32  
4qac_501     122.66  
4qac_502     142.87  
4qac_507     129.14  
4qac_509     105.96  
4qac_512     103.47  
4qac_513     108.29  
4qac_518     102.83  
4qac_538     99.81   
4qac_539     118.99  
4qac_550     107.29  
4qac_553     106.99  
4qac_557     102.88  
4qac_563     93.12   
4qac_565     93.84   
4qac_567     87.85   
4qac_569     103.68  
4qac_581     73.26   
4qac_588     123.78  
4qac_593     91.37   
4qac_600     76.91   
4qac_634     109.34  
4qac_635     64.56   
4qac_659     112.05  
4qac_673     92.02   
4qac_683     129.18  
4qac_689     32.24   
4qac_692     106.33  
4qac_702     148.9   
4qac_711     73.77   
4qac_718     128.59  
4qac_722     120.79  
4qac_739     102.62  
4qac_745     108     
4qac_755     94.79   
4qac_764     106.3   
4qac_769     90.17   
4qac_770     118.85  
4qac_772     72.8    
4qac_773     103.55  
4qac_777     108.83  
4qac_780     103.11  
4qac_781     89.56   
4qac_782     31.75   
4qac_786     97.85   
4qac_787     23.4    
4qac_789     110.74  
4qac_791     85.19   
4qac_793     48.75   
4qac_795     59.63   
4qac_800     99.81   
4qac_813     103.04  
4qac_824     117.68  
4qac_828     74.86   
4qac_849     77.73   
4qac_871     98.59   
4qac_875     108.69  
4qac_883     88.23   
4qac_888     116.14  
4qac_893     101.15  
4qac_945     158.71  
4qac_962     109.49  
4qac_969     113.93  
4qac_975     123.71  
4qac_ligand  161.11  
