#code        score   
2qe4_165     129.61  
2qe4_249     132.74  
2qe4_3       139.28  
2qe4_309     122.86  
2qe4_422     104.49  
2qe4_435     118.12  
2qe4_441     115.11  
2qe4_446     97.33   
2qe4_447     119.14  
2qe4_448     113.2   
2qe4_499     101.3   
2qe4_500     100.32  
2qe4_509     113.31  
2qe4_551     109.8   
2qe4_552     100.02  
2qe4_574     74.28   
2qe4_597     79.09   
2qe4_611     66.53   
2qe4_629     74.01   
2qe4_689     46.69   
2qe4_693     60.91   
2qe4_694     62.48   
2qe4_698     77.15   
2qe4_705     117.62  
2qe4_718     139.47  
2qe4_741     119.75  
2qe4_750     94.95   
2qe4_754     84.32   
2qe4_757     113.01  
2qe4_770     85.53   
2qe4_771     105.24  
2qe4_777     107.32  
2qe4_779     105.81  
2qe4_780     104.64  
2qe4_784     95.37   
2qe4_786     109     
2qe4_788     79.02   
2qe4_789     92.37   
2qe4_79      135.16  
2qe4_793     129.19  
2qe4_796     109.56  
2qe4_797     113.97  
2qe4_83      129.77  
2qe4_832     118.31  
2qe4_841     117.54  
2qe4_850     113.05  
2qe4_875     109.86  
2qe4_877     87.49   
2qe4_964     119.22  
2qe4_977     139.33  
2qe4_ligand  127.05  
