#code        score   
2xbv_103     56.7    
2xbv_109     79.26   
2xbv_114     53.39   
2xbv_119     89.34   
2xbv_124     58.71   
2xbv_136     75.87   
2xbv_137     86.55   
2xbv_144     72.92   
2xbv_154     82.62   
2xbv_157     90.83   
2xbv_164     82.24   
2xbv_167     107.49  
2xbv_184     56.31   
2xbv_195     70.78   
2xbv_198     47.88   
2xbv_199     67.01   
2xbv_203     58.15   
2xbv_226     54.7    
2xbv_23      48.42   
2xbv_267     58.3    
2xbv_277     47.75   
2xbv_293     48.19   
2xbv_302     69.19   
2xbv_304     69.32   
2xbv_309     82.15   
2xbv_310     60.94   
2xbv_316     43.82   
2xbv_317     75.3    
2xbv_336     52.66   
2xbv_340     27.41   
2xbv_344     74.93   
2xbv_347     66.96   
2xbv_353     81.55   
2xbv_355     59.31   
2xbv_364     84.35   
2xbv_378     70.37   
2xbv_385     92.01   
2xbv_386     92.68   
2xbv_389     52.7    
2xbv_391     75.98   
2xbv_392     69.68   
2xbv_397     66.94   
2xbv_399     62.32   
2xbv_401     -15.06  
2xbv_434     3.31    
2xbv_435     -65.19  
2xbv_444     -21.71  
2xbv_463     -15.98  
2xbv_475     -14.9   
2xbv_477     24.84   
2xbv_52      48.31   
2xbv_532     3.63    
2xbv_559     20.82   
2xbv_565     13.92   
2xbv_746     16.51   
2xbv_747     0.81    
2xbv_752     -10.08  
2xbv_753     -0.2    
2xbv_754     22.57   
2xbv_756     4.87    
2xbv_761     -41.84  
2xbv_762     -41.32  
2xbv_766     55.76   
2xbv_769     -38.95  
2xbv_770     0.57    
2xbv_771     -35.35  
2xbv_773     -39     
2xbv_777     -29.43  
2xbv_779     -32.33  
2xbv_780     27.91   
2xbv_782     -2.74   
2xbv_784     13.33   
2xbv_8       34.68   
2xbv_825     51.86   
2xbv_855     51.93   
2xbv_866     20.77   
2xbv_880     7.62    
2xbv_883     -1.42   
2xbv_884     2.26    
2xbv_984     73.05   
2xbv_ligand  76.44   
