#code        score   
3b68_121     105.98  
3b68_126     120.67  
3b68_192     105.5   
3b68_228     60.77   
3b68_269     96.13   
3b68_291     80.37   
3b68_304     110.96  
3b68_405     -6.01   
3b68_410     -22.83  
3b68_418     29.21   
3b68_423     15.27   
3b68_430     38.54   
3b68_438     36.42   
3b68_439     64.86   
3b68_441     51.96   
3b68_446     62.96   
3b68_459     61.13   
3b68_467     48.17   
3b68_475     87.07   
3b68_484     30.09   
3b68_549     50.09   
3b68_558     73.13   
3b68_564     30.38   
3b68_573     46.27   
3b68_574     39.27   
3b68_580     112.54  
3b68_591     34.37   
3b68_605     79.35   
3b68_626     74.72   
3b68_627     67.75   
3b68_644     79.72   
3b68_665     69.1    
3b68_678     60.69   
3b68_683     95.14   
3b68_685     59.89   
3b68_686     82.6    
3b68_687     19.05   
3b68_696     95.4    
3b68_714     102.21  
3b68_753     119.56  
3b68_756     114.51  
3b68_763     107.94  
3b68_772     17.87   
3b68_774     31.51   
3b68_776     7.65    
3b68_778     91.13   
3b68_779     6.37    
3b68_780     10.44   
3b68_781     23.66   
3b68_782     14.44   
3b68_783     6.47    
3b68_784     81.02   
3b68_865     86      
3b68_884     107.97  
3b68_904     89.6    
3b68_922     110.77  
3b68_947     96.78   
3b68_962     89.18   
3b68_965     100.55  
3b68_99      78.15   
3b68_ligand  117.22  
