#code        score   
3gr2_102     53.79   
3gr2_118     29.97   
3gr2_12      45.61   
3gr2_122     48.96   
3gr2_132     44.45   
3gr2_151     27.18   
3gr2_186     41.85   
3gr2_187     56.87   
3gr2_205     25.09   
3gr2_220     23.82   
3gr2_226     14.6    
3gr2_239     5.59    
3gr2_254     31.45   
3gr2_262     29.49   
3gr2_277     34.91   
3gr2_279     31.12   
3gr2_337     44.55   
3gr2_409     46.13   
3gr2_410     39.39   
3gr2_415     40.96   
3gr2_421     34.71   
3gr2_424     43.02   
3gr2_446     41.42   
3gr2_449     17.77   
3gr2_451     42.04   
3gr2_458     32.78   
3gr2_460     28.02   
3gr2_466     28.19   
3gr2_474     23.22   
3gr2_476     29.61   
3gr2_493     44.15   
3gr2_526     15.95   
3gr2_540     -13     
3gr2_541     7.47    
3gr2_545     34.37   
3gr2_560     10.96   
3gr2_568     34.29   
3gr2_580     30.98   
3gr2_581     20.05   
3gr2_585     29.74   
3gr2_592     13.15   
3gr2_624     26.38   
3gr2_663     40.74   
3gr2_665     16.11   
3gr2_669     46.45   
3gr2_684     33.01   
3gr2_686     9.65    
3gr2_701     46.73   
3gr2_717     6.97    
3gr2_722     17.82   
3gr2_732     40.59   
3gr2_735     2.8     
3gr2_737     42.19   
3gr2_738     38.06   
3gr2_742     16.59   
3gr2_743     17.84   
3gr2_745     24.64   
3gr2_747     27.17   
3gr2_756     30.6    
3gr2_758     1.18    
3gr2_761     25.58   
3gr2_762     10.55   
3gr2_764     29      
3gr2_765     18      
3gr2_766     17.6    
3gr2_771     16.25   
3gr2_776     30.47   
3gr2_779     15.3    
3gr2_783     14.13   
3gr2_786     0.59    
3gr2_820     42.53   
3gr2_835     43.41   
3gr2_841     9.42    
3gr2_853     22.2    
3gr2_858     16.99   
3gr2_867     30.12   
3gr2_872     46.53   
3gr2_879     4.49    
3gr2_973     42.73   
3gr2_978     15.88   
3gr2_ligand  42.33   
