#code        score   
3pyy_13      58.92   
3pyy_209     40.03   
3pyy_219     41.63   
3pyy_224     29.29   
3pyy_230     22.6    
3pyy_232     4.89    
3pyy_245     39.14   
3pyy_247     44.57   
3pyy_248     28.68   
3pyy_263     31.92   
3pyy_277     30.05   
3pyy_280     20.58   
3pyy_283     32.02   
3pyy_284     31.73   
3pyy_287     38.22   
3pyy_290     28.25   
3pyy_296     48.64   
3pyy_297     31.28   
3pyy_363     33.5    
3pyy_377     43.88   
3pyy_407     38.52   
3pyy_410     48.68   
3pyy_411     13.57   
3pyy_422     18.41   
3pyy_444     3.26    
3pyy_449     12.83   
3pyy_453     22.76   
3pyy_454     -40.24  
3pyy_455     42.32   
3pyy_466     24.68   
3pyy_489     35.58   
3pyy_498     22.84   
3pyy_500     15.71   
3pyy_518     32.45   
3pyy_529     25.09   
3pyy_535     30.57   
3pyy_547     16.8    
3pyy_554     16.57   
3pyy_600     17.28   
3pyy_604     7.68    
3pyy_630     11.61   
3pyy_633     7.03    
3pyy_636     13.81   
3pyy_640     13.08   
3pyy_641     5.16    
3pyy_650     3.34    
3pyy_667     18.32   
3pyy_689     10.4    
3pyy_694     1.61    
3pyy_699     12.29   
3pyy_709     35.38   
3pyy_711     31.51   
3pyy_719     48.89   
3pyy_738     18.19   
3pyy_742     29.24   
3pyy_745     33.33   
3pyy_746     31.09   
3pyy_751     31.95   
3pyy_757     6.15    
3pyy_760     19.3    
3pyy_763     31.52   
3pyy_766     10.99   
3pyy_778     14.39   
3pyy_780     -4.09   
3pyy_781     36.96   
3pyy_782     20.61   
3pyy_784     17.33   
3pyy_785     6.07    
3pyy_787     38.92   
3pyy_792     15.13   
3pyy_793     15.89   
3pyy_796     23.11   
3pyy_812     31.75   
3pyy_817     29.07   
3pyy_822     28.24   
3pyy_832     27.83   
3pyy_839     31.14   
3pyy_850     47.09   
3pyy_86      45.53   
3pyy_875     10.97   
3pyy_88      56.84   
3pyy_896     1.36    
3pyy_899     29.21   
3pyy_92      46.52   
3pyy_933     36.92   
3pyy_954     7.29    
3pyy_967     15.83   
3pyy_981     14.8    
3pyy_ligand  42.18   
