#code        score   
4llx_208     42.11   
4llx_213     46.04   
4llx_236     47.92   
4llx_243     63.64   
4llx_247     61.05   
4llx_276     48.91   
4llx_293     42.67   
4llx_302     50.21   
4llx_386     48.45   
4llx_402     48.55   
4llx_403     47.8    
4llx_408     46.24   
4llx_414     47.72   
4llx_418     33.08   
4llx_419     30.04   
4llx_421     42.76   
4llx_422     47.93   
4llx_442     47.49   
4llx_443     42.14   
4llx_447     38.79   
4llx_451     15.53   
4llx_465     47.97   
4llx_471     61.99   
4llx_472     59.71   
4llx_475     19.56   
4llx_478     0.18    
4llx_485     40.79   
4llx_498     43.33   
4llx_500     56.67   
4llx_512     55.1    
4llx_519     48.75   
4llx_525     63.49   
4llx_545     41.8    
4llx_553     51.46   
4llx_554     65.47   
4llx_558     55.05   
4llx_560     52.48   
4llx_579     54.18   
4llx_589     59.38   
4llx_609     38.82   
4llx_613     19.47   
4llx_621     42.52   
4llx_624     37.12   
4llx_635     44.6    
4llx_636     10.51   
4llx_641     47.58   
4llx_650     36.28   
4llx_666     47.74   
4llx_677     25.33   
4llx_684     39.33   
4llx_686     26.66   
4llx_689     27.84   
4llx_695     45.23   
4llx_716     10.02   
4llx_723     27.57   
4llx_727     13.39   
4llx_745     18.49   
4llx_746     13.71   
4llx_750     17.06   
4llx_751     70.5    
4llx_757     -4.08   
4llx_759     9.48    
4llx_769     19.21   
4llx_774     11.23   
4llx_779     16.63   
4llx_781     3.55    
4llx_784     11.51   
4llx_785     10.57   
4llx_786     10.51   
4llx_787     15.22   
4llx_788     8.82    
4llx_789     10.84   
4llx_790     14.57   
4llx_793     10.06   
4llx_795     17.3    
4llx_798     0.49    
4llx_799     11.28   
4llx_845     -0.09   
4llx_859     30.77   
4llx_862     14.31   
4llx_871     23.25   
4llx_875     22.11   
4llx_877     -4.24   
4llx_882     9.33    
4llx_943     36.16   
4llx_967     14.42   
4llx_977     40.51   
4llx_ligand  47.96   
