#code        score   
2hb1_102     -63.5131
2hb1_134     -65.5326
2hb1_148     -49.0131
2hb1_149     -66.9671
2hb1_167     -60.1224
2hb1_175     -62.3298
2hb1_313     -66.0827
2hb1_330     -72.7411
2hb1_376     -65.5199
2hb1_408     -41.8052
2hb1_417     -44.2344
2hb1_424     -40.2218
2hb1_427     14.4496 
2hb1_438     -27.5842
2hb1_440     -30.0650
2hb1_447     -12.2818
2hb1_448     -30.9566
2hb1_457     -46.5272
2hb1_463     -5.3289 
2hb1_477     -37.7623
2hb1_480     -14.8119
2hb1_485     -32.0116
2hb1_495     -15.4346
2hb1_504     -59.1842
2hb1_559     0.5340  
2hb1_562     -42.4647
2hb1_573     -14.7884
2hb1_574     -1.2797 
2hb1_613     -34.7339
2hb1_640     -62.8912
2hb1_642     -29.8032
2hb1_664     -74.5217
2hb1_666     -44.0365
2hb1_675     -30.3232
2hb1_689     -53.3653
2hb1_690     -33.6047
2hb1_695     -32.8313
2hb1_763     -35.9446
2hb1_772     -54.5966
2hb1_785     -58.9420
2hb1_981     -54.6919
2hb1_ligand  -64.9433
