#code        score   
2v7a_107     -41.3574
2v7a_11      -25.7451
2v7a_130     -1.0290 
2v7a_131     -22.0813
2v7a_141     -41.6729
2v7a_142     -28.7970
2v7a_150     -11.9066
2v7a_163     -16.3733
2v7a_173     -28.6239
2v7a_175     -21.0899
2v7a_181     -18.5531
2v7a_278     -17.8861
2v7a_304     -33.6609
2v7a_318     -18.7165
2v7a_321     -30.3292
2v7a_327     -27.2394
2v7a_338     -21.0824
2v7a_355     -15.0804
2v7a_369     -26.9765
2v7a_375     -20.5442
2v7a_379     -8.8972 
2v7a_380     -14.9966
2v7a_381     -52.7301
2v7a_388     -27.4312
2v7a_407     60.4327 
2v7a_408     19.8443 
2v7a_416     39.8140 
2v7a_419     5.1376  
2v7a_423     25.1409 
2v7a_424     48.3433 
2v7a_426     45.4369 
2v7a_429     -14.1126
2v7a_431     73.0443 
2v7a_434     53.7276 
2v7a_441     19.3153 
2v7a_444     24.2703 
2v7a_446     40.2626 
2v7a_447     28.3871 
2v7a_448     49.0812 
2v7a_452     6.9632  
2v7a_475     -1.7763 
2v7a_478     -1.1488 
2v7a_487     14.3577 
2v7a_489     31.0217 
2v7a_494     44.1052 
2v7a_495     35.0235 
2v7a_496     51.1814 
2v7a_498     33.9569 
2v7a_514     -26.8206
2v7a_522     25.3721 
2v7a_523     17.3354 
2v7a_530     -10.7150
2v7a_536     26.0777 
2v7a_548     46.7834 
2v7a_550     -12.1512
2v7a_555     -2.7553 
2v7a_557     24.0288 
2v7a_561     -9.4777 
2v7a_568     9.6721  
2v7a_572     5.4073  
2v7a_583     -10.3329
2v7a_591     2.9361  
2v7a_592     11.0359 
2v7a_594     25.0615 
2v7a_600     32.0664 
2v7a_606     20.7998 
2v7a_609     26.8606 
2v7a_616     24.7855 
2v7a_621     28.2300 
2v7a_623     19.7090 
2v7a_629     50.0602 
2v7a_632     -7.7232 
2v7a_635     -22.8928
2v7a_654     30.9157 
2v7a_663     -9.3312 
2v7a_671     30.3321 
2v7a_679     25.0325 
2v7a_684     -2.1430 
2v7a_688     23.4681 
2v7a_690     6.8209  
2v7a_693     5.1770  
2v7a_698     -8.8641 
2v7a_7       -23.9843
2v7a_733     -15.9201
2v7a_737     -25.2736
2v7a_743     -2.6015 
2v7a_744     -22.1015
2v7a_784     1.1980  
2v7a_789     -10.9767
2v7a_820     -26.1741
2v7a_845     -14.1068
2v7a_856     -7.3292 
2v7a_859     -14.1044
2v7a_886     -13.7613
2v7a_889     -1.8279 
2v7a_973     -20.0579
2v7a_981     -17.7933
2v7a_983     -9.7485 
2v7a_985     -23.6116
2v7a_ligand  -26.6598
