#code        score   
2wn9_105     -75.5124
2wn9_11      -92.7955
2wn9_118     -50.9875
2wn9_12      -103.2902
2wn9_13      -106.5068
2wn9_134     -89.5024
2wn9_136     -77.0400
2wn9_160     -77.5354
2wn9_172     -91.3396
2wn9_175     -68.1169
2wn9_177     -64.4366
2wn9_194     -79.1708
2wn9_2       -100.5233
2wn9_217     -47.1667
2wn9_232     -78.5065
2wn9_247     -68.0723
2wn9_257     -64.9227
2wn9_261     -81.5793
2wn9_275     -50.9045
2wn9_283     -28.6046
2wn9_289     -64.4303
2wn9_299     -80.5399
2wn9_300     -54.0222
2wn9_329     -76.7678
2wn9_333     -83.5201
2wn9_336     -83.5606
2wn9_34      -91.9628
2wn9_376     -85.9022
2wn9_391     -92.9603
2wn9_410     -51.2945
2wn9_411     -64.4549
2wn9_424     -63.3381
2wn9_445     -63.2707
2wn9_448     -63.4454
2wn9_461     -42.3039
2wn9_471     -45.0685
2wn9_474     -80.2063
2wn9_483     -68.9000
2wn9_51      -103.6137
2wn9_525     -51.7418
2wn9_531     -87.5254
2wn9_565     -69.7178
2wn9_570     -93.2412
2wn9_571     -53.9551
2wn9_575     -55.8581
2wn9_586     -90.7069
2wn9_626     -88.4048
2wn9_643     -81.3833
2wn9_662     -43.2594
2wn9_663     -73.3410
2wn9_667     -75.7343
2wn9_675     -65.3303
2wn9_678     -74.2516
2wn9_689     -70.1959
2wn9_737     -40.9780
2wn9_738     -89.9901
2wn9_740     -42.6760
2wn9_749     -43.4766
2wn9_751     -21.0383
2wn9_752     -41.7060
2wn9_753     -43.1560
2wn9_759     -52.7530
2wn9_762     -43.0979
2wn9_80      -89.8053
2wn9_ligand  -90.6068
