#code        score   
2x00_123     -129.3544
2x00_144     -117.2422
2x00_174     -125.7855
2x00_234     -114.3888
2x00_335     -128.7681
2x00_345     -127.7682
2x00_410     -99.6043
2x00_447     -44.6990
2x00_464     -66.6383
2x00_470     -67.4727
2x00_487     -59.0353
2x00_498     -29.0854
2x00_499     -50.4231
2x00_500     -68.2869
2x00_509     -29.7980
2x00_528     -61.0615
2x00_53      -114.1500
2x00_539     -31.5708
2x00_551     -38.3634
2x00_565     -23.7532
2x00_573     -73.7125
2x00_576     -63.1395
2x00_583     -48.6264
2x00_586     -73.2189
2x00_587     -18.0523
2x00_594     -74.6352
2x00_604     -86.6749
2x00_609     -97.0522
2x00_611     -65.3499
2x00_633     -58.9566
2x00_634     -85.1540
2x00_654     -31.5238
2x00_701     -117.0684
2x00_705     -107.2505
2x00_709     -116.2086
2x00_716     -125.8586
2x00_721     -61.5045
2x00_725     -59.5472
2x00_731     -66.0040
2x00_732     -60.6688
2x00_736     -55.9398
2x00_742     -69.4024
2x00_748     -87.7525
2x00_749     -97.4752
2x00_760     -65.5071
2x00_761     -63.0121
2x00_767     -93.6753
2x00_771     -83.4738
2x00_778     -52.3190
2x00_779     -29.4653
2x00_786     -26.9698
2x00_789     -18.4386
2x00_791     -34.7861
2x00_798     -113.6836
2x00_817     -91.7591
2x00_818     -84.0672
2x00_822     -60.8865
2x00_835     -47.2113
2x00_843     -81.0501
2x00_853     -80.5219
2x00_874     -61.8573
2x00_882     -47.0584
2x00_889     -91.0758
2x00_891     -78.1792
2x00_907     -115.3732
2x00_911     -114.1341
2x00_929     -96.4551
2x00_935     -93.8918
2x00_945     -47.1347
2x00_963     -39.9222
2x00_966     -58.8449
2x00_969     -43.7959
2x00_971     -81.6882
2x00_972     -50.3391
2x00_986     -38.0867
2x00_992     -85.8905
2x00_ligand  -126.6543
