#code        score   
3arp_103     -144.5731
3arp_17      -164.7461
3arp_176     -146.5372
3arp_181     -151.6622
3arp_190     -159.9133
3arp_198     -157.7298
3arp_203     -132.2137
3arp_211     -129.1185
3arp_214     -150.0655
3arp_223     -116.9459
3arp_227     -121.7597
3arp_231     -111.7620
3arp_232     -132.1141
3arp_235     -140.2408
3arp_245     -136.8026
3arp_248     -133.1542
3arp_252     -164.4659
3arp_254     -164.3516
3arp_255     -142.4126
3arp_258     -111.7563
3arp_284     -152.6116
3arp_289     -172.4075
3arp_290     -137.6182
3arp_299     -139.2658
3arp_324     -174.1335
3arp_330     -154.0274
3arp_333     -164.3841
3arp_347     -159.2229
3arp_353     -88.7016
3arp_357     -165.8813
3arp_365     -169.4069
3arp_367     -165.2180
3arp_37      -171.3349
3arp_371     -150.4085
3arp_380     -136.7284
3arp_394     -171.8746
3arp_407     -106.1721
3arp_419     -110.9972
3arp_420     -126.8219
3arp_425     -96.7209
3arp_431     -82.5104
3arp_447     -94.6176
3arp_448     -102.1219
3arp_449     -100.9569
3arp_46      -163.8253
3arp_496     -80.6124
3arp_505     -142.2369
3arp_509     -104.4173
3arp_516     -123.3722
3arp_517     -114.5272
3arp_540     -118.0252
3arp_549     -63.1689
3arp_551     -109.6114
3arp_558     -95.3779
3arp_562     -98.8260
3arp_570     -129.2142
3arp_574     -100.0725
3arp_575     -90.9005
3arp_585     -103.5590
3arp_6       -162.3569
3arp_605     -56.4042
3arp_607     -83.3719
3arp_615     -96.8327
3arp_620     -64.6809
3arp_623     -47.6603
3arp_632     -84.7530
3arp_641     -88.6113
3arp_650     -75.2538
3arp_653     -87.4739
3arp_658     -123.2728
3arp_67      -166.1646
3arp_671     -83.4405
3arp_674     -100.6677
3arp_679     -115.5992
3arp_684     -103.4119
3arp_703     -144.6054
3arp_73      -169.0907
3arp_734     -154.5604
3arp_750     -150.6355
3arp_752     -139.6921
3arp_781     -128.2966
3arp_783     -128.1179
3arp_784     -112.8188
3arp_785     -97.6408
3arp_787     -101.3911
3arp_790     -109.5775
3arp_89      -167.2184
3arp_909     -165.4740
3arp_951     -155.4662
3arp_963     -149.7486
3arp_ligand  -169.5551
